model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0850694444444444,0.0861111111111111,0.05,0.025,0.0666666666666666,0.1,0.04,0.1,0.03,0.153125
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.063125,0.0849999999999999,0.05,0.025,0.05,0.075,0.04,0.078125,0.02,0.078125
bge-small,recent,diff_file_w100_recent,diff,file,w100,0.0882246376811594,0.125,0.05,0.025,0.0833333333333333,0.1271739130434782,0.05,0.1271739130434782,0.03,0.1771739130434782
bge-small,recent,title_file_all_recent,title,file,all,0.0850694444444444,0.0861111111111111,0.05,0.025,0.0666666666666666,0.1,0.04,0.1,0.03,0.153125
bge-small,recent,desc_file_all_recent,desc,file,all,0.063125,0.0849999999999999,0.05,0.025,0.05,0.075,0.04,0.078125,0.02,0.078125
bge-small,recent,diff_file_all_recent,diff,file,all,0.0882246376811594,0.125,0.05,0.025,0.0833333333333333,0.1271739130434782,0.05,0.1271739130434782,0.03,0.1771739130434782
bge-small,recent,title_module_w100_recent,title,module,w100,0.53375,0.5491666666666666,0.3,0.25,0.26666666666666666,0.7,0.20000000000000004,0.85,0.12000000000000002,1.0
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.5588095238095238,0.5725,0.35,0.3,0.28333333333333327,0.725,0.19000000000000003,0.8,0.12000000000000002,1.0
bge-small,recent,diff_module_w100_recent,diff,module,w100,0.5563095238095237,0.5824999999999999,0.4,0.325,0.26666666666666666,0.675,0.20000000000000004,0.85,0.12000000000000002,1.0
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.08506944444444445,0.08611111111111111,0.05,0.025,0.06666666666666667,0.1,0.04,0.1,0.030000000000000006,0.153125
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.5337500000000001,0.5491666666666666,0.3,0.25,0.2666666666666666,0.7,0.2,0.85,0.12000000000000002,1.0
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.063125,0.08499999999999999,0.05,0.025,0.05,0.075,0.04,0.078125,0.02,0.078125
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.5588095238095238,0.5725,0.35,0.3,0.2833333333333333,0.725,0.19,0.8,0.12000000000000002,1.0
bge-small,recent,diff_file_w1000_recent,diff,file,w1000,0.08822463768115942,0.125,0.05,0.025,0.08333333333333333,0.12717391304347828,0.05,0.12717391304347828,0.030000000000000006,0.17717391304347826
bge-small,recent,diff_module_w1000_recent,diff,module,w1000,0.5563095238095238,0.5825,0.4,0.325,0.26666666666666666,0.675,0.2,0.85,0.12000000000000002,1.0
bge-small,recent,title_module_all_recent,title,module,all,0.5337500000000001,0.5491666666666667,0.3,0.25,0.2666666666666666,0.7,0.20000000000000004,0.85,0.12000000000000002,1.0
bge-small,recent,desc_module_all_recent,desc,module,all,0.5588095238095238,0.5725,0.35,0.3,0.2833333333333333,0.725,0.19000000000000003,0.8,0.12000000000000002,1.0
bge-small,recent,diff_module_all_recent,diff,module,all,0.5563095238095237,0.5824999999999999,0.4,0.325,0.2666666666666666,0.675,0.20000000000000004,0.85,0.12000000000000002,1.0
bge-small,modn,title_file_w100_modn,title,file,w100,0.3138888888888889,0.3222222222222222,0.25,0.20833333333333334,0.16666666666666669,0.35,0.12000000000000002,0.3666666666666667,0.07500000000000001,0.475
bge-small,modn,title_module_w100_modn,title,module,w100,0.6238095238095237,0.6416666666666666,0.45,0.375,0.2833333333333333,0.725,0.22000000000000003,0.9,0.11500000000000002,0.925
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.3011111111111111,0.31222222222222223,0.25,0.20833333333333334,0.15,0.3,0.12000000000000002,0.3666666666666667,0.075,0.45
bge-small,modn,desc_module_w100_modn,desc,module,w100,0.6145833333333333,0.6375,0.45,0.375,0.29999999999999993,0.75,0.22000000000000006,0.9,0.11500000000000002,0.925
bge-small,modn,diff_file_w100_modn,diff,file,w100,0.3125,0.325,0.3,0.3,0.11666666666666665,0.325,0.06999999999999999,0.325,0.034999999999999996,0.325
bge-small,modn,diff_module_w100_modn,diff,module,w100,0.6029761904761906,0.6466666666666667,0.5,0.4,0.2666666666666666,0.65,0.22000000000000003,0.9,0.11500000000000002,0.925
bge-small,modn,title_file_w1000_modn,title,file,w1000,0.3138888888888889,0.3222222222222222,0.25,0.20833333333333334,0.16666666666666669,0.35,0.12000000000000002,0.3666666666666667,0.07500000000000001,0.475
bge-small,modn,title_module_w1000_modn,title,module,w1000,0.6238095238095237,0.6416666666666666,0.45,0.375,0.28333333333333327,0.725,0.22000000000000006,0.9,0.11500000000000002,0.925
bge-small,modn,desc_file_w1000_modn,desc,file,w1000,0.30111111111111116,0.31222222222222223,0.25,0.20833333333333334,0.15,0.3,0.12000000000000002,0.3666666666666667,0.075,0.45
