model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.2767737103174603,0.346859126984127,0.285,0.1837956349206349,0.1833333333333333,0.3000634920634921,0.1369999999999999,0.3505555555555555,0.079,0.3889365079365079
bge-large,recent,title_module_w100_recent,title,module,w100,0.7912632936507936,0.8077857142857142,0.72,0.5086666666666666,0.4466666666666666,0.82625,0.296,0.91325,0.1595,1.0
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.3007720789241623,0.3719027777777778,0.31,0.2198174603174603,0.1783333333333333,0.3117857142857143,0.133,0.3584166666666666,0.077,0.3856587301587301
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.7799954365079365,0.7952678571428571,0.695,0.4836666666666667,0.4399999999999999,0.8279166666666665,0.297,0.9185833333333336,0.1595,1.0
bge-large,recent,diff_file_w100_recent,diff,file,w100,0.31045305335097,0.3865198412698413,0.325,0.2277837301587301,0.1916666666666666,0.3196130952380953,0.138,0.367611111111111,0.0815,0.3983809523809523
bge-large,recent,diff_module_w100_recent,diff,module,w100,0.8131301587301587,0.8347261904761905,0.755,0.5378333333333333,0.4433333333333333,0.8408333333333334,0.301,0.9315833333333332,0.1595,1.0
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.3753420020786093,0.4482480158730159,0.365,0.2773174603174603,0.1983333333333333,0.3688769841269841,0.15,0.4268888888888889,0.107,0.5186805555555556
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.8319613095238095,0.8574642857142857,0.77,0.5503333333333333,0.4549999999999999,0.8775,0.301,0.9571666666666668,0.1595,1.0
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.402380185500126,0.4779920634920634,0.385,0.2988373015873016,0.22,0.4008134920634921,0.17,0.4500952380952381,0.1115,0.5372777777777777
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.8271597222222222,0.849547619047619,0.76,0.5436666666666666,0.4483333333333333,0.8708333333333335,0.301,0.9549166666666667,0.1595,1.0
bge-large,recent,diff_file_w1000_recent,diff,file,w1000,0.4336266345427059,0.521281746031746,0.43,0.3169484126984127,0.25,0.4256309523809524,0.191,0.483079365079365,0.1169999999999999,0.5767440476190476
bge-large,recent,diff_module_w1000_recent,diff,module,w1000,0.840257738095238,0.8699583333333334,0.79,0.5778333333333334,0.4483333333333333,0.875,0.302,0.96725,0.1595,1.0
bge-large,recent,title_file_all_recent,title,file,all,0.4074815129755606,0.5072738095238095,0.41,0.2882480158730158,0.2216666666666666,0.4107936507936507,0.171,0.4781051587301587,0.12,0.5916666666666667
bge-large,recent,title_module_all_recent,title,module,all,0.7508640873015874,0.8021210317460317,0.69,0.4845,0.4033333333333332,0.8,0.27,0.8749166666666668,0.157,0.9919166666666668
bge-large,recent,desc_file_all_recent,desc,file,all,0.4120921626984126,0.525795634920635,0.425,0.2750039682539683,0.2383333333333333,0.4172222222222222,0.19,0.4978769841269841,0.123,0.5856428571428571
