model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.2655758928571428,0.3221944444444445,0.26,0.1790535714285714,0.1683333333333333,0.2799047619047619,0.125,0.3231051587301587,0.0785,0.3862837301587301
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.2841876291257243,0.3449821428571428,0.275,0.2011369047619047,0.1716666666666666,0.2992857142857143,0.1289999999999999,0.3540416666666666,0.076,0.3842698412698412
bge-small,recent,diff_file_w100_recent,diff,file,w100,0.3020843584656084,0.3796845238095238,0.32,0.2169503968253968,0.1866666666666666,0.3189742063492063,0.136,0.3576111111111111,0.0805,0.3953253968253968
bge-small,recent,title_module_w100_recent,title,module,w100,0.7494984126984128,0.7658333333333333,0.67,0.4586666666666666,0.4266666666666666,0.7795833333333334,0.29,0.8890833333333333,0.1595,1.0
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.7602023809523808,0.776809523809524,0.675,0.4586666666666666,0.435,0.80625,0.294,0.9109166666666668,0.1595,1.0
bge-small,recent,diff_module_w100_recent,diff,module,w100,0.7765180555555556,0.7939880952380952,0.7,0.4903333333333333,0.4266666666666666,0.79875,0.296,0.9124166666666668,0.1595,1.0
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.3527445475875535,0.417579365079365,0.33,0.2550674603174603,0.1866666666666666,0.3511071428571428,0.143,0.4115416666666667,0.103,0.5008214285714285
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.7934839285714286,0.817547619047619,0.72,0.5095000000000001,0.44,0.845,0.302,0.95575,0.1595,1.0
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.3942810011967749,0.4870099206349206,0.41,0.2972063492063492,0.2166666666666666,0.3903710317460317,0.163,0.4426924603174603,0.107,0.5211805555555555
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.807943253968254,0.8337142857142856,0.725,0.5053333333333333,0.4533333333333333,0.88375,0.302,0.96325,0.1595,1.0
