model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.3016235748929201,0.3443234126984126,0.28,0.2014761904761904,0.1716666666666666,0.3046666666666667,0.1329999999999999,0.3665595238095238,0.08,0.401563492063492
bge-small,recent,title_module_w100_recent,title,module,w100,0.7968595238095239,0.8162142857142857,0.71,0.5274166666666666,0.4183333333333333,0.85375,0.29,0.9703333333333332,0.15,0.99
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.3117229828042328,0.3715853174603174,0.305,0.2143035714285714,0.1783333333333333,0.3328988095238095,0.131,0.3674801587301587,0.079,0.4157896825396825
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.7638095238095238,0.7894166666666667,0.67,0.4932499999999999,0.4033333333333332,0.8289166666666666,0.285,0.9531666666666666,0.15,0.99
bge-small,recent,comments_file_w100_recent,comments,file,w100,0.2770997260015116,0.3382619047619047,0.26,0.1823591269841269,0.165,0.3076626984126984,0.124,0.3458551587301587,0.0694999999999999,0.3894166666666666
bge-small,recent,comments_module_w100_recent,comments,module,w100,0.7165626984126985,0.7401428571428571,0.61,0.4540833333333333,0.3633333333333333,0.7544166666666666,0.28,0.93075,0.15,0.99
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.3627805555555555,0.4340297619047619,0.35,0.2421785714285714,0.2183333333333333,0.3862380952380952,0.154,0.4400059523809523,0.1,0.5215773809523809
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.8051392857142856,0.8402142857142857,0.75,0.5682499999999999,0.4099999999999999,0.8535833333333334,0.2790000000000001,0.9511666666666668,0.151,1.0
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.3765449168556312,0.448359126984127,0.36,0.2518035714285714,0.2166666666666666,0.3896488095238095,0.1689999999999999,0.481438492063492,0.1045,0.5368174603174602
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.8189992063492063,0.8535416666666665,0.755,0.57475,0.4149999999999999,0.8815000000000001,0.284,0.9686666666666668,0.151,1.0
