model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.059717772391652,0.1551865079365079,0.12,0.0314785847193741,0.075,0.0534356364395838,0.059,0.0719749221538695,0.0445,0.0920199996146784
bge-large,recent,title_module_w100_recent,title,module,w100,0.4885542871315192,0.5809126984126984,0.445,0.311484126984127,0.2716666666666666,0.514702380952381,0.214,0.6285615079365079,0.143,0.7626051587301587
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.0559807380331488,0.1389484126984127,0.105,0.0270657059314954,0.0716666666666666,0.0513640274929748,0.057,0.064517977709425,0.0445,0.0914899170564594
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.47686029462711,0.5612043650793651,0.42,0.2869424603174603,0.255,0.4807440476190476,0.215,0.6248035714285715,0.1475,0.7834861111111112
bge-large,recent,diff_file_w100_recent,diff,file,w100,0.051670298004005,0.1364027777777777,0.095,0.024357372598162,0.0733333333333333,0.0454202698617172,0.0559999999999999,0.0587328992613031,0.0455,0.0815860403775828
bge-large,recent,diff_module_w100_recent,diff,module,w100,0.4695653817082388,0.5477123015873017,0.375,0.2581507936507936,0.2733333333333334,0.5067380952380952,0.221,0.6403948412698413,0.1475,0.7941805555555556
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.0722817385517914,0.1749365079365079,0.12,0.0378282564936783,0.09,0.0745078629853978,0.071,0.092027120688479,0.0535,0.1341838937915369
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.5093116402116402,0.5836031746031746,0.39,0.2939365079365079,0.2983333333333333,0.5836904761904761,0.228,0.6837341269841269,0.1455,0.8135436507936507
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.0729337669512863,0.1635753968253968,0.11,0.0392963023367241,0.0816666666666666,0.0624077547602896,0.079,0.0928817154401326,0.0559999999999999,0.1222667951093454
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.530805009133283,0.6019960317460317,0.415,0.3139365079365079,0.3,0.5843571428571428,0.237,0.7131805555555556,0.151,0.8291051587301587
bge-large,recent,diff_file_w1000_recent,diff,file,w1000,0.087062761832063,0.1890178571428571,0.115,0.0395109314576032,0.1016666666666666,0.0869995400583248,0.086,0.1178736700133372,0.061,0.1566720148820944
bge-large,recent,diff_module_w1000_recent,diff,module,w1000,0.5190959089191232,0.5914246031746032,0.4,0.2906031746031746,0.2933333333333333,0.5683988095238095,0.235,0.7106805555555556,0.152,0.8428551587301587
bge-large,recent,title_file_all_recent,title,file,all,0.0709118703010757,0.1561765873015873,0.09,0.0267301587301587,0.0683333333333333,0.0838926587301587,0.064,0.1187268191925893,0.054,0.1575908511315825
bge-large,recent,title_module_all_recent,title,module,all,0.4716760298563869,0.5611984126984126,0.37,0.2872619047619047,0.2683333333333333,0.553593253968254,0.204,0.6566666666666667,0.127,0.749517857142857
bge-large,recent,desc_file_all_recent,desc,file,all,0.0809426043176492,0.1688769841269841,0.1,0.039406746031746,0.075,0.0795248334182157,0.071,0.1142253234252847,0.057,0.1614475173819988
