model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0654250912777698,0.1060912698412698,0.075,0.0405891608391608,0.0466666666666666,0.064999725370415,0.043,0.0863667946038635,0.0345,0.1204870452823039
bge-small,recent,title_module_w100_recent,title,module,w100,0.6262627976190477,0.6449325396825398,0.475,0.4104642857142857,0.2916666666666666,0.7183095238095238,0.223,0.8831071428571429,0.129,0.97125
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.0727581528237316,0.1143591269841269,0.07,0.0399962121212121,0.0566666666666666,0.0856567766524663,0.049,0.114372896739276,0.035,0.1301014378341964
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.6554444444444445,0.6743988095238095,0.51,0.4454642857142856,0.3066666666666666,0.7524761904761905,0.226,0.8962738095238094,0.129,0.97125
bge-small,recent,diff_file_w100_recent,diff,file,w100,0.0839928004706022,0.1410178571428571,0.095,0.0455575951825951,0.0683333333333333,0.1001769786726683,0.051,0.1233686232350025,0.038,0.1627601679929266
bge-small,recent,diff_module_w100_recent,diff,module,w100,0.6441945861678005,0.6615734126984126,0.505,0.4371309523809523,0.2983333333333333,0.7216428571428571,0.227,0.8954404761904762,0.1275,0.964702380952381
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.1098018772320393,0.1795853174603174,0.11,0.0529469696969697,0.095,0.1206999973206869,0.083,0.162084823701203,0.06,0.2063252695580281
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.6908710931594859,0.7208293650793651,0.57,0.4929642857142857,0.305,0.7655119047619049,0.215,0.8647261904761905,0.128,0.9812023809523808
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.1254943796864055,0.2077123015873015,0.14,0.0743693834900731,0.0983333333333333,0.1256310385017282,0.087,0.171329606695986,0.0655,0.2148840816750299
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.7090829554043839,0.7307678571428572,0.575,0.5029642857142858,0.3166666666666666,0.7896785714285715,0.216,0.8652738095238095,0.1275,0.9787023809523808
bge-small,recent,diff_file_w1000_recent,diff,file,w1000,0.1427080342473276,0.2271706349206349,0.165,0.0919527168234064,0.11,0.1444384729255418,0.094,0.1887073776319466,0.0689999999999999,0.2301074457152043
bge-small,recent,diff_module_w1000_recent,diff,module,w1000,0.7261424461451247,0.7423789682539683,0.59,0.5219642857142857,0.33,0.8180119047619047,0.22,0.8746071428571427,0.129,0.9792857142857144
bge-small,recent,title_file_all_recent,title,file,all,0.1524716826503105,0.2419007936507936,0.15,0.0795010475635475,0.1316666666666666,0.1715702422577422,0.103,0.2082090617715618,0.075,0.267404258337448
bge-small,recent,title_module_all_recent,title,module,all,0.5554664682539683,0.6083710317460317,0.485,0.4161309523809523,0.23,0.5886309523809524,0.166,0.6989642857142857,0.108,0.8847261904761905
bge-small,recent,desc_file_all_recent,desc,file,all,0.1560428544387673,0.2498650793650793,0.16,0.0777788253413253,0.1316666666666666,0.1821732116064012,0.103,0.2130442739731532,0.0754999999999999,0.2693469145796732
bge-small,recent,desc_module_all_recent,desc,module,all,0.6087805272108844,0.6531646825396825,0.51,0.4441666666666666,0.2616666666666666,0.6751785714285714,0.192,0.8125952380952381,0.116,0.9318095238095238
