model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.077208443987898,0.1336388888888889,0.09,0.0463771645021645,0.055,0.0886708707958708,0.049,0.1091363595695492,0.0355,0.1442426161003747
bge-large,recent,title_module_w100_recent,title,module,w100,0.6573492063492062,0.6777103174603175,0.54,0.4692142857142856,0.2933333333333333,0.7249761904761904,0.2189999999999999,0.8681904761904761,0.1275,0.9641666666666668
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.0900012883066847,0.1588452380952381,0.11,0.0542895576645576,0.0666666666666666,0.0993711427461427,0.055,0.1247127484584381,0.04,0.1522881264606536
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.6667787698412698,0.6931369047619047,0.555,0.4771309523809524,0.3033333333333333,0.7483095238095236,0.221,0.8790238095238095,0.1275,0.9675
bge-large,recent,diff_file_w100_recent,diff,file,w100,0.0963874970751672,0.1637579365079365,0.11,0.05368272005772,0.0816666666666666,0.1121737972276765,0.0579999999999999,0.1313521189059982,0.0415,0.1650960477060749
bge-large,recent,diff_module_w100_recent,diff,module,w100,0.6473224206349206,0.6711547619047619,0.525,0.451297619047619,0.2866666666666667,0.7023095238095237,0.216,0.8565238095238095,0.128,0.9691666666666668
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.1290222901234036,0.2115198412698412,0.15,0.0778737373737373,0.1016666666666666,0.1223413559620456,0.088,0.1820428754674444,0.0625,0.2240511588507278
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.6584242394179894,0.6847361111111111,0.56,0.4904166666666667,0.285,0.7057619047619048,0.207,0.8325238095238094,0.128,0.9812023809523808
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.1373674796467899,0.2257519841269841,0.145,0.0753257575757575,0.115,0.1531523574605471,0.091,0.1846922509961303,0.0684999999999999,0.2410991345818932
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.6939817649281934,0.7247896825396825,0.595,0.52625,0.3166666666666666,0.7938452380952381,0.209,0.8437738095238094,0.1275,0.9787023809523808
bge-large,recent,diff_file_w1000_recent,diff,file,w1000,0.1534438443049075,0.2512738095238095,0.18,0.0914090909090909,0.1316666666666666,0.1692087553251346,0.1039999999999999,0.2096557001427691,0.071,0.2521842508545094
bge-large,recent,diff_module_w1000_recent,diff,module,w1000,0.6761612103174603,0.7003313492063492,0.555,0.48875,0.3,0.7567619047619047,0.215,0.8712738095238095,0.128,0.9812023809523808
bge-large,recent,title_file_all_recent,title,file,all,0.1779807332899645,0.2635952380952381,0.17,0.1052004523254523,0.1316666666666666,0.1915373237873238,0.106,0.237930056055056,0.075,0.2834391458637148
bge-large,recent,title_module_all_recent,title,module,all,0.5464166666666667,0.5955436507936508,0.49,0.4248809523809524,0.23,0.5879642857142857,0.16,0.6715952380952381,0.0975,0.7920595238095238
