model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.077944062512903,0.1656646825396825,0.13,0.0517111568986568,0.075,0.0729791865742952,0.059,0.0886053943037638,0.047,0.1210705592716462
bge-large,recent,title_module_w100_recent,title,module,w100,0.93,0.9425,0.94,0.9233333333333336,0.3183333333333333,0.9325,0.191,0.9325,0.0955,0.9325
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.0656225205404068,0.151470238095238,0.1,0.0366526251526251,0.0816666666666666,0.0677886008918617,0.068,0.0903275070340287,0.047,0.1098403574082922
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.9325,0.945,0.945,0.9283333333333336,0.3183333333333333,0.9325,0.191,0.9325,0.0955,0.9325
bge-large,recent,comments_file_w100_recent,comments,file,w100,0.0651515421995448,0.1427599206349206,0.085,0.0297764804639804,0.0766666666666666,0.0615153919148484,0.072,0.08529066042653,0.0544999999999999,0.1233805544521708
bge-large,recent,comments_module_w100_recent,comments,module,w100,0.9325,0.945,0.945,0.9283333333333336,0.3183333333333333,0.9325,0.191,0.9325,0.0955,0.9325
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.1462993348407105,0.2441011904761904,0.155,0.0757137882542294,0.1233333333333333,0.1514813436953782,0.107,0.1950509497429254,0.0835,0.2707587561451052
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.81675,0.8222499999999999,0.665,0.6533333333333334,0.335,0.9808333333333334,0.205,0.9941666666666664,0.104,1.0
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.1584083401066988,0.2882876984126984,0.19,0.0744715875201808,0.155,0.1723033914368684,0.127,0.2224871308507972,0.092,0.2941836343725987
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.8240000000000001,0.8295833333333335,0.675,0.6583333333333333,0.335,0.9775,0.205,0.9883333333333334,0.104,1.0
bge-large,recent,comments_file_w1000_recent,comments,file,w1000,0.1643507239831203,0.2834146825396825,0.19,0.077624611723402,0.1333333333333333,0.1615807454944335,0.1239999999999999,0.2200733541082161,0.0955,0.3085240693818368
bge-large,recent,comments_module_w1000_recent,comments,module,w1000,0.8076309523809523,0.8158333333333333,0.65,0.6333333333333333,0.3316666666666666,0.9725,0.204,0.9883333333333332,0.104,1.0
bge-large,recent,title_file_all_recent,title,file,all,0.1648487755471673,0.2774424603174603,0.185,0.0783032265936677,0.1383333333333333,0.168753349467384,0.121,0.2270979806106084,0.0955,0.3138103465271036
