model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0102037518192663,0.0478333333333333,0.03,0.0013688617093762,0.0233333333333333,0.0184521950427096,0.015,0.0197021950427096,0.009,0.0219796675701821
bge-small,recent,title_module_w100_recent,title,module,w100,0.2953772108843537,0.305061507936508,0.07,0.0330833333333333,0.1399999999999999,0.2792619047619047,0.202,0.7315952380952382,0.1375,0.959154761904762
bge-small,recent,desc_file_w100_recent,desc,file,w100,4.273504273504273e-05,0.0005555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0003846153846153
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.4160027777777778,0.4280932539682539,0.155,0.1147499999999999,0.2383333333333333,0.5126785714285714,0.231,0.8324761904761906,0.137,0.9555714285714284
bge-small,recent,comments_file_w100_recent,comments,file,w100,0.00199297940405,0.0136666666666666,0.01,0.0001561977948546,0.005,0.0051561977948546,0.005,0.0060067725074983,0.0025,0.0060067725074983
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.1051080100945958,0.1759365079365079,0.12,0.0676198442848793,0.0916666666666666,0.1070383985083912,0.068,0.1270340394591023,0.0484999999999999,0.1635936086205102
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.4047832671957672,0.4302321428571429,0.25,0.1961666666666666,0.1816666666666666,0.4032142857142857,0.1689999999999999,0.6153928571428571,0.132,0.938404761904762
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.1316958221574441,0.190343253968254,0.145,0.0951197777597003,0.0866666666666666,0.1282370304859377,0.071,0.1525373495171889,0.0484999999999999,0.188068912525539
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.5133457010582011,0.5408928571428572,0.35,0.2889642857142857,0.25,0.5638095238095238,0.201,0.7390238095238095,0.139,0.9779523809523808
bge-small,recent,title_file_all_recent,title,file,all,0.1499864027488318,0.2400019841269841,0.165,0.0723405732685393,0.1283333333333333,0.1643192139781123,0.102,0.2042840351738656,0.073,0.261132566326032
bge-small,recent,title_module_all_recent,title,module,all,0.4975917139077853,0.5305297619047619,0.34,0.2715833333333333,0.2483333333333333,0.5745,0.197,0.7439166666666668,0.1285,0.9137738095238096
bge-small,recent,desc_file_all_recent,desc,file,all,0.1496485597776194,0.2677420634920635,0.2,0.0749346092472067,0.1416666666666666,0.1607866925439929,0.1159999999999999,0.1977065504574668,0.086,0.2567188692263664
bge-small,recent,desc_module_all_recent,desc,module,all,0.4335005810657596,0.4595476190476191,0.285,0.2293809523809523,0.2066666666666666,0.452845238095238,0.184,0.6238571428571429,0.1325,0.9203214285714286
bge-small,recent,comments_file_all_recent,comments,file,all,0.1424030257970694,0.2710674603174603,0.21,0.0805552454576316,0.1299999999999999,0.1359719422809879,0.111,0.1717583527240578,0.088,0.2374726081958086
bge-small,modn,title_file_w100_modn,title,file,w100,0.0079889716658579,0.0268531746031746,0.01,0.0016920473773265,0.0116666666666666,0.0127216040275728,0.012,0.0195588046612509,0.008,0.0258598250694142
bge-small,modn,title_module_w100_modn,title,module,w100,0.5660544359410431,0.6000575396825397,0.43,0.3698392857142856,0.265,0.6652142857142858,0.19,0.7725535714285714,0.1195,0.9194880952380952
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.0073059171944639,0.0204166666666666,0.015,0.0043390804597701,0.0066666666666666,0.0055890804597701,0.006,0.0130890804597701,0.004,0.0136401008679333
