model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.1066867765669953,0.1898075396825397,0.15,0.0551688311688311,0.1099999999999999,0.1135281385281385,0.085,0.1310281385281385,0.0525,0.1476943347183663
bge-small,recent,title_module_w100_recent,title,module,w100,0.6766680555555555,0.7112678571428571,0.58,0.2731666666666666,0.4616666666666666,0.6326666666666667,0.389,0.8948333333333331,0.2095,0.9891666666666667
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.1131836019441035,0.206095238095238,0.175,0.0615497835497835,0.1233333333333333,0.122051948051948,0.085,0.1295005411255411,0.051,0.1444229761749489
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.6599001984126985,0.703779761904762,0.595,0.2794166666666667,0.4466666666666666,0.5865833333333333,0.372,0.8125833333333332,0.2095,0.9891666666666667
bge-small,recent,diff_file_w100_recent,diff,file,w100,0.0956233059410016,0.1691031746031746,0.13,0.0465854978354978,0.1016666666666666,0.0958495670995671,0.074,0.1218517316017316,0.048,0.1472441182681498
bge-small,recent,diff_module_w100_recent,diff,module,w100,0.7356597222222223,0.7622678571428572,0.64,0.3344166666666666,0.5149999999999999,0.7336666666666666,0.393,0.9071666666666668,0.2095,0.9891666666666667
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.2189009771098634,0.377297619047619,0.31,0.1273212121212121,0.1983333333333333,0.2340474025974026,0.135,0.254850974025974,0.085,0.2936467856987584
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.6332144841269841,0.6834464285714286,0.585,0.2648333333333333,0.4233333333333333,0.5383333333333333,0.325,0.6607499999999998,0.211,1.0
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.2165041323618631,0.3753670634920635,0.315,0.1208558059587471,0.2016666666666666,0.2297700916730328,0.14,0.2635677107206519,0.0854999999999999,0.2934481926251653
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.6279704365079365,0.6754940476190476,0.565,0.2598333333333333,0.43,0.5514166666666667,0.315,0.6518333333333333,0.211,1.0
bge-small,recent,diff_file_w1000_recent,diff,file,w1000,0.2073864410915881,0.3539583333333332,0.3,0.123,0.1883333333333333,0.2178274509803921,0.131,0.2522917366946778,0.0765,0.2785698752228164
bge-small,recent,diff_module_w1000_recent,diff,module,w1000,0.6225186507936508,0.6376190476190476,0.505,0.2189999999999999,0.4766666666666667,0.5914166666666667,0.362,0.7596666666666667,0.211,1.0
bge-small,recent,title_file_all_recent,title,file,all,0.2869694222840651,0.4220376984126984,0.345,0.1683093073593073,0.2333333333333333,0.3065890692640692,0.1579999999999999,0.3314854978354978,0.095,0.3817971861471861
bge-small,recent,title_module_all_recent,title,module,all,0.4990350529100529,0.6085595238095238,0.49,0.2050833333333333,0.365,0.4774166666666666,0.267,0.5842499999999999,0.187,0.8890833333333333
bge-small,recent,desc_file_all_recent,desc,file,all,0.2786626082251082,0.4215654761904761,0.35,0.159025974025974,0.2266666666666666,0.2920795454545454,0.158,0.3261866883116883,0.096,0.3844805194805195
bge-small,recent,desc_module_all_recent,desc,module,all,0.5023291666666667,0.603001984126984,0.5,0.2275833333333333,0.3583333333333333,0.4543333333333333,0.259,0.55475,0.18,0.8436666666666666
bge-small,recent,diff_file_all_recent,diff,file,all,0.2607012092412722,0.3836825396825397,0.3,0.1425416666666666,0.2133333333333333,0.2741369047619047,0.147,0.3004914502164502,0.0984999999999999,0.3911032085561497
bge-small,recent,diff_module_all_recent,diff,module,all,0.4654832010582009,0.5195357142857142,0.365,0.1609166666666666,0.3183333333333333,0.4130833333333333,0.294,0.61525,0.1995,0.9173333333333332
bge-small,modn,title_file_w100_modn,title,file,w100,0.0521492587439016,0.0989642857142857,0.07,0.0394505772005772,0.0416666666666666,0.0546596274096274,0.036,0.0678760776260776,0.023,0.0808678358678358
bge-small,modn,title_module_w100_modn,title,module,w100,0.7279353174603175,0.8015000000000001,0.68,0.3439166666666666,0.4933333333333333,0.7246666666666667,0.386,0.8988333333333333,0.2035,0.94225
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.0451308182773633,0.0953730158730158,0.055,0.0290458152958152,0.045,0.0457167900537465,0.037,0.0540438657558222,0.025,0.0829010086129651
bge-small,modn,desc_module_w100_modn,desc,module,w100,0.714020238095238,0.781720238095238,0.65,0.3226666666666666,0.4983333333333333,0.7325833333333334,0.384,0.8925833333333333,0.2035,0.94225
bge-small,modn,diff_file_w100_modn,diff,file,w100,0.0395848901429258,0.0786091269841269,0.055,0.0302958152958152,0.0333333333333333,0.038036075036075,0.03,0.0523662818662818,0.0195,0.0600708273208273
bge-small,modn,diff_module_w100_modn,diff,module,w100,0.6814448412698413,0.7328888888888888,0.58,0.2868333333333333,0.5016666666666666,0.7130833333333334,0.387,0.8975833333333333,0.2035,0.94225
bge-small,modn,title_file_w1000_modn,title,file,w1000,0.1092232399971012,0.2025218253968254,0.155,0.066812504524461,0.0833333333333333,0.1030177113546678,0.065,0.1351627329996895,0.0475,0.1923752149621714
bge-small,modn,title_module_w1000_modn,title,module,w1000,0.7131560515873017,0.7701309523809524,0.62,0.33375,0.495,0.7280833333333334,0.3710000000000001,0.87075,0.2035,0.94225
bge-small,modn,desc_file_w1000_modn,desc,file,w1000,0.1245815961605299,0.2339464285714285,0.195,0.0868916892286457,0.0966666666666666,0.1225329229948795,0.072,0.1426977859097424,0.0525,0.1939287654776785
bge-small,modn,desc_module_w1000_modn,desc,module,w1000,0.6807874999999999,0.7439166666666667,0.565,0.2716666666666666,0.4883333333333333,0.7155833333333333,0.372,0.8761666666666668,0.2035,0.94225
bge-small,modn,diff_file_w1000_modn,diff,file,w1000,0.117308913465474,0.1969484126984127,0.14,0.0707599206349206,0.0933333333333333,0.1292845719095719,0.071,0.1518473816843382,0.048,0.1794696159315724
bge-small,modn,diff_module_w1000_modn,diff,module,w1000,0.6332359126984126,0.6692222222222222,0.445,0.2148333333333333,0.48,0.705,0.378,0.8803333333333333,0.2035,0.94225
bge-small,modn,title_file_all_modn,title,file,all,0.3088635784486996,0.476922619047619,0.41,0.1950684569054134,0.2483333333333333,0.329921631508588,0.17,0.3617103219847785,0.1014999999999999,0.4108077546447111
bge-small,modn,title_module_all_modn,title,module,all,0.6579991071428571,0.7107063492063491,0.56,0.2843333333333333,0.4533333333333333,0.6655833333333334,0.357,0.8489166666666667,0.208,0.9704166666666666
bge-small,modn,desc_file_all_modn,desc,file,all,0.322596494288906,0.4956507936507936,0.415,0.1971941391941391,0.255,0.339280758492715,0.178,0.3830152462272028,0.1075,0.4425602197721763
bge-small,modn,desc_module_all_modn,desc,module,all,0.6387249007936507,0.6865654761904761,0.525,0.2651666666666666,0.4416666666666667,0.6405833333333334,0.35,0.8194999999999999,0.209,0.9766666666666666
bge-small,modn,diff_file_all_modn,diff,file,all,0.2460939892056222,0.3900257936507936,0.285,0.1159494047619047,0.2283333333333333,0.2830518970763536,0.162,0.3479507066001631,0.093,0.3840678001547566
bge-small,modn,diff_module_all_modn,diff,module,all,0.5266400793650794,0.5610238095238096,0.36,0.18225,0.3266666666666666,0.4895833333333333,0.3340000000000001,0.7874166666666668,0.213,0.99125
bge-large,recent,title_file_w100_recent,title,file,w100,0.1126190416065416,0.2022619047619047,0.17,0.059797619047619,0.1233333333333333,0.1174962121212121,0.088,0.1313198051948051,0.05,0.1442348484848485
bge-large,recent,title_module_w100_recent,title,module,w100,0.653579761904762,0.6844821428571428,0.57,0.2673333333333333,0.4416666666666667,0.5664166666666667,0.37,0.7648333333333334,0.2095,0.9891666666666667
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.1186332422868137,0.2147896825396825,0.185,0.0690595238095237,0.1283333333333333,0.1240974025974026,0.085,0.1304745670995671,0.0484999999999999,0.1391693722943722
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.6578605158730159,0.6923392857142858,0.585,0.2764999999999999,0.445,0.5714166666666667,0.367,0.7465,0.2095,0.9891666666666667
bge-large,recent,diff_file_w100_recent,diff,file,w100,0.0905847359225779,0.1761230158730158,0.145,0.0487997835497835,0.0883333333333333,0.0831352813852813,0.072,0.1170352438092753,0.0484999999999999,0.1493967156707472
bge-large,recent,diff_module_w100_recent,diff,module,w100,0.7227583333333334,0.7348988095238096,0.585,0.3073333333333333,0.5149999999999999,0.7190833333333333,0.401,0.9231666666666666,0.2095,0.9891666666666667
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.2189354160351008,0.3834543650793651,0.315,0.1242059523809523,0.2049999999999999,0.2360974726254137,0.147,0.2685579704609116,0.085,0.298089896867838
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.6284974206349206,0.6610555555555555,0.55,0.2459166666666666,0.4316666666666667,0.5516666666666667,0.341,0.68875,0.211,1.0
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.2218133155787567,0.3787559523809524,0.335,0.128482212885154,0.2066666666666666,0.2280319964349376,0.142,0.2591629488158899,0.0825,0.2872601349630762
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.6378873015873016,0.6787460317460318,0.59,0.2698333333333332,0.43,0.5491666666666667,0.336,0.6724166666666668,0.211,1.0
bge-large,recent,diff_file_w1000_recent,diff,file,w1000,0.2026914649630485,0.3436964285714285,0.27,0.1042941176470588,0.1933333333333333,0.2095417366946778,0.142,0.2586450916730328,0.0834999999999999,0.3012019805039532
bge-large,recent,diff_module_w1000_recent,diff,module,w1000,0.6628886904761905,0.6788333333333333,0.55,0.2510833333333333,0.4933333333333333,0.6318333333333332,0.366,0.7717499999999999,0.211,1.0
bge-large,recent,title_file_all_recent,title,file,all,0.2915379921665636,0.4302738095238095,0.335,0.1614938311688311,0.245,0.3206045454545455,0.166,0.3521402597402597,0.0984999999999999,0.3984497835497835
bge-large,recent,title_module_all_recent,title,module,all,0.4681936507936508,0.5709285714285715,0.475,0.2021666666666666,0.355,0.4590833333333333,0.258,0.5496666666666666,0.175,0.7515833333333332
bge-large,recent,desc_file_all_recent,desc,file,all,0.3102635070947571,0.4627480158730159,0.39,0.1843688311688311,0.2516666666666667,0.321803354978355,0.175,0.3617378787878788,0.103,0.4099438311688311
bge-large,recent,desc_module_all_recent,desc,module,all,0.4896230158730158,0.5762976190476191,0.465,0.1996666666666667,0.37,0.4768333333333333,0.261,0.5543333333333333,0.1785,0.78175
bge-large,recent,diff_file_all_recent,diff,file,all,0.3037686297498797,0.4565059523809524,0.375,0.1664559523809524,0.245,0.3117595238095238,0.18,0.374803354978355,0.108,0.4365712121212121
bge-large,recent,diff_module_all_recent,diff,module,all,0.500399503968254,0.5455099206349207,0.35,0.1595,0.3566666666666666,0.4867499999999999,0.313,0.68425,0.2055,0.9694166666666666
bge-large,modn,title_file_w100_modn,title,file,w100,0.0458820448621043,0.0763015873015873,0.045,0.031089466089466,0.0333333333333333,0.044520202020202,0.03,0.0602269119769119,0.0225,0.080830623080623
bge-large,modn,title_module_w100_modn,title,module,w100,0.7386579365079364,0.8088392857142856,0.705,0.3580833333333333,0.4983333333333333,0.7245,0.381,0.8665833333333333,0.2035,0.94225
bge-large,modn,desc_file_w100_modn,desc,file,w100,0.0487502147323575,0.0871785714285714,0.06,0.0372402597402597,0.0416666666666666,0.0471281866281866,0.031,0.0551303511303511,0.0235,0.0777257696007695
bge-large,modn,desc_module_w100_modn,desc,module,w100,0.7210825396825397,0.7989285714285714,0.695,0.3455833333333333,0.4933333333333333,0.7153333333333333,0.3879999999999999,0.8986666666666667,0.2035,0.94225
bge-large,modn,diff_file_w100_modn,diff,file,w100,0.0539100868564377,0.1002321428571428,0.075,0.0397402597402597,0.0383333333333333,0.0498323713323713,0.033,0.0650152717652717,0.024,0.0883796688416253
bge-large,modn,diff_module_w100_modn,diff,module,w100,0.7203613095238094,0.7730198412698412,0.635,0.32225,0.51,0.73225,0.388,0.9013333333333332,0.2035,0.94225
bge-large,modn,title_file_w1000_modn,title,file,w1000,0.1193271153765719,0.2133710317460317,0.155,0.0707989208858774,0.0933333333333333,0.1153905514775079,0.076,0.1628016218885784,0.0504999999999999,0.2114345583965149
bge-large,modn,title_module_w1000_modn,title,module,w1000,0.7197060515873015,0.7994761904761905,0.67,0.34,0.5,0.7411666666666666,0.359,0.8558333333333333,0.2035,0.94225
bge-large,modn,desc_file_w1000_modn,desc,file,w1000,0.1294240227644515,0.2364980158730159,0.19,0.0852579155948721,0.1083333333333333,0.1372700007319572,0.077,0.1543674033293598,0.05,0.1862134831754397
bge-large,modn,desc_module_w1000_modn,desc,module,w1000,0.7072436507936507,0.7896785714285715,0.665,0.3304166666666666,0.4916666666666666,0.71825,0.368,0.8739166666666667,0.2035,0.94225
bge-large,modn,diff_file_w1000_modn,diff,file,w1000,0.1179387776450794,0.2120694444444444,0.165,0.0771878097747662,0.0883333333333333,0.1069348636468201,0.074,0.1571572662442227,0.05,0.2001751233870799
bge-large,modn,diff_module_w1000_modn,diff,module,w1000,0.6717188492063493,0.7155416666666667,0.525,0.27025,0.5049999999999999,0.741,0.388,0.9028333333333332,0.2035,0.94225
bge-large,modn,title_file_all_modn,title,file,all,0.3416586066696703,0.5088313492063492,0.435,0.2150459446954012,0.27,0.3587987960107525,0.1829999999999999,0.3926883462753028,0.1035,0.4316505229874795
bge-large,modn,title_module_all_modn,title,module,all,0.6759456349206349,0.7362777777777777,0.585,0.3055833333333333,0.4716666666666666,0.7018333333333334,0.363,0.861,0.204,0.9535833333333332
bge-large,modn,desc_file_all_modn,desc,file,all,0.333332035456492,0.5020059523809524,0.42,0.1970823457943023,0.27,0.3532767902387467,0.183,0.3908007801377367,0.11,0.4500230578600144
bge-large,modn,desc_module_all_modn,desc,module,all,0.6829933531746032,0.739311507936508,0.595,0.3085,0.48,0.7151666666666666,0.362,0.8561666666666667,0.209,0.974
bge-large,modn,diff_file_all_modn,diff,file,all,0.3187032896652462,0.4853809523809523,0.39,0.1835001293995858,0.2549999999999999,0.3486387130381695,0.1779999999999999,0.3962599251593816,0.104,0.4360671942791508
bge-large,modn,diff_module_all_modn,diff,module,all,0.5989793650793651,0.6422460317460318,0.44,0.2380833333333333,0.39,0.6004166666666666,0.353,0.8269999999999998,0.2125,0.98625
