model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.1126190416065416,0.2022619047619047,0.17,0.059797619047619,0.1233333333333333,0.1174962121212121,0.088,0.1313198051948051,0.05,0.1442348484848485
bge-large,recent,title_module_w100_recent,title,module,w100,0.653579761904762,0.6844821428571428,0.57,0.2673333333333333,0.4416666666666667,0.5664166666666667,0.37,0.7648333333333334,0.2095,0.9891666666666667
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.1186332422868137,0.2147896825396825,0.185,0.0690595238095237,0.1283333333333333,0.1240974025974026,0.085,0.1304745670995671,0.0484999999999999,0.1391693722943722
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.6578605158730159,0.6923392857142858,0.585,0.2764999999999999,0.445,0.5714166666666667,0.367,0.7465,0.2095,0.9891666666666667
bge-large,recent,diff_file_w100_recent,diff,file,w100,0.0905847359225779,0.1761230158730158,0.145,0.0487997835497835,0.0883333333333333,0.0831352813852813,0.072,0.1170352438092753,0.0484999999999999,0.1493967156707472
bge-large,recent,diff_module_w100_recent,diff,module,w100,0.7227583333333334,0.7348988095238096,0.585,0.3073333333333333,0.5149999999999999,0.7190833333333333,0.401,0.9231666666666666,0.2095,0.9891666666666667
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.2189354160351008,0.3834543650793651,0.315,0.1242059523809523,0.2049999999999999,0.2360974726254137,0.147,0.2685579704609116,0.085,0.298089896867838
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.6284974206349206,0.6610555555555555,0.55,0.2459166666666666,0.4316666666666667,0.5516666666666667,0.341,0.68875,0.211,1.0
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.2218133155787567,0.3787559523809524,0.335,0.128482212885154,0.2066666666666666,0.2280319964349376,0.142,0.2591629488158899,0.0825,0.2872601349630762
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.6378873015873016,0.6787460317460318,0.59,0.2698333333333332,0.43,0.5491666666666667,0.336,0.6724166666666668,0.211,1.0
bge-large,recent,diff_file_w1000_recent,diff,file,w1000,0.2026914649630485,0.3436964285714285,0.27,0.1042941176470588,0.1933333333333333,0.2095417366946778,0.142,0.2586450916730328,0.0834999999999999,0.3012019805039532
bge-large,recent,diff_module_w1000_recent,diff,module,w1000,0.6628886904761905,0.6788333333333333,0.55,0.2510833333333333,0.4933333333333333,0.6318333333333332,0.366,0.7717499999999999,0.211,1.0
bge-large,recent,title_file_all_recent,title,file,all,0.2915379921665636,0.4302738095238095,0.335,0.1614938311688311,0.245,0.3206045454545455,0.166,0.3521402597402597,0.0984999999999999,0.3984497835497835
bge-large,recent,title_module_all_recent,title,module,all,0.4681936507936508,0.5709285714285715,0.475,0.2021666666666666,0.355,0.4590833333333333,0.258,0.5496666666666666,0.175,0.7515833333333332
bge-large,recent,desc_file_all_recent,desc,file,all,0.3102635070947571,0.4627480158730159,0.39,0.1843688311688311,0.2516666666666667,0.321803354978355,0.175,0.3617378787878788,0.103,0.4099438311688311
bge-large,recent,desc_module_all_recent,desc,module,all,0.4896230158730158,0.5762976190476191,0.465,0.1996666666666667,0.37,0.4768333333333333,0.261,0.5543333333333333,0.1785,0.78175
bge-large,recent,diff_file_all_recent,diff,file,all,0.3037686297498797,0.4565059523809524,0.375,0.1664559523809524,0.245,0.3117595238095238,0.18,0.374803354978355,0.108,0.4365712121212121
bge-large,recent,diff_module_all_recent,diff,module,all,0.500399503968254,0.5455099206349207,0.35,0.1595,0.3566666666666666,0.4867499999999999,0.313,0.68425,0.2055,0.9694166666666666
bge-large,modn,title_file_w100_modn,title,file,w100,0.0458820448621043,0.0763015873015873,0.045,0.031089466089466,0.0333333333333333,0.044520202020202,0.03,0.0602269119769119,0.0225,0.080830623080623
bge-large,modn,title_module_w100_modn,title,module,w100,0.7386579365079364,0.8088392857142856,0.705,0.3580833333333333,0.4983333333333333,0.7245,0.381,0.8665833333333333,0.2035,0.94225
bge-large,modn,desc_file_w100_modn,desc,file,w100,0.0487502147323575,0.0871785714285714,0.06,0.0372402597402597,0.0416666666666666,0.0471281866281866,0.031,0.0551303511303511,0.0235,0.0777257696007695
bge-large,modn,desc_module_w100_modn,desc,module,w100,0.7210825396825397,0.7989285714285714,0.695,0.3455833333333333,0.4933333333333333,0.7153333333333333,0.3879999999999999,0.8986666666666667,0.2035,0.94225
