model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0133027826370811,0.0296666666666666,0.02,0.0105756578947368,0.0166666666666666,0.0142832230978515,0.011,0.0145463809925884,0.009,0.0162321928462695
bge-small,recent,title_module_w100_recent,title,module,w100,0.7844665674603175,0.8588869047619048,0.805,0.6685,0.3133333333333333,0.7526666666666667,0.241,0.8775833333333333,0.1355,0.9770833333333332
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.0143892206005209,0.0244642857142857,0.02,0.0106458333333333,0.0133333333333333,0.014125,0.011,0.014984649122807,0.0095,0.0171426728586171
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.7857701388888888,0.8610059523809523,0.805,0.6709999999999999,0.3116666666666666,0.7476666666666667,0.243,0.8850833333333332,0.1355,0.9770833333333332
bge-small,recent,comments_file_w100_recent,comments,file,w100,0.011705588149667,0.0218055555555555,0.015,0.0056458333333333,0.0133333333333333,0.014125,0.011,0.014984649122807,0.0085,0.0165923046251993
bge-small,recent,comments_module_w100_recent,comments,module,w100,0.7853137896825397,0.8620892857142857,0.805,0.6685,0.3133333333333333,0.7526666666666667,0.241,0.8775833333333333,0.1355,0.9770833333333332
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.0140271280711247,0.0338809523809523,0.025,0.0067271730462519,0.0199999999999999,0.0155099016480595,0.015,0.0213286150983519,0.01,0.0273588184476342
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.3545712301587301,0.3528611111111111,0.065,0.0420833333333333,0.3066666666666667,0.7326666666666667,0.229,0.8471666666666667,0.127,0.9365
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.0201666570941242,0.03125,0.025,0.0105964912280701,0.02,0.018657529239766,0.016,0.0245873538011695,0.0125,0.0302942251461988
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.4663134920634921,0.4835892857142857,0.07,0.0495833333333333,0.3066666666666667,0.7401666666666666,0.229,0.8471666666666667,0.127,0.9365
bge-small,recent,comments_file_w1000_recent,comments,file,w1000,0.0231769910888331,0.0354166666666666,0.03,0.0122631578947368,0.0216666666666666,0.0234353070175438,0.017,0.0248998538011695,0.0125,0.0287178362573099
bge-small,recent,comments_module_w1000_recent,comments,module,w1000,0.4585089285714286,0.4838670634920635,0.07,0.0495833333333333,0.3066666666666667,0.7401666666666666,0.229,0.8471666666666667,0.127,0.9365
bge-small,recent,title_file_all_recent,title,file,all,0.0081457115009746,0.0133333333333333,0.005,0.005,0.0083333333333333,0.009985380116959,0.0069999999999999,0.0105116959064327,0.004,0.0130116959064327
bge-small,recent,title_module_all_recent,title,module,all,0.1173878968253968,0.1375892857142857,0.035,0.02125,0.0233333333333333,0.045,0.02,0.06125,0.0944999999999999,0.7568333333333334
bge-small,recent,desc_file_all_recent,desc,file,all,0.0123425229741019,0.0156031746031746,0.005,0.005,0.0066666666666666,0.0127631578947368,0.009,0.0189152046783625,0.008,0.0301081871345029
bge-small,recent,desc_module_all_recent,desc,module,all,0.0457777777777777,0.0567499999999999,0.035,0.0175,0.0233333333333333,0.04375,0.023,0.08125,0.015,0.1025
bge-small,recent,comments_file_all_recent,comments,file,all,0.0117503829016986,0.0154761904761904,0.005,0.005,0.005,0.0125,0.005,0.0130263157894736,0.0085,0.0411783625730994
bge-small,recent,comments_module_all_recent,comments,module,all,0.0462539682539682,0.0558333333333333,0.035,0.02125,0.0216666666666666,0.04,0.022,0.07625,0.0155,0.105
bge-small,modn,title_file_w100_modn,title,file,w100,0.0001093457943925,0.0015,0.0,0.0,0.0,0.0,0.001,4.672897196261682e-05,0.001,0.0010467289719626
bge-small,modn,title_module_w100_modn,title,module,w100,0.2374905092592593,0.2811230158730159,0.07,0.0324166666666666,0.085,0.1285833333333333,0.203,0.726,0.1265,0.8498333333333333
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.0003489096573208,0.0033333333333333,0.0,0.0,0.0033333333333333,0.0010467289719626,0.002,0.0010467289719626,0.001,0.0010467289719626
bge-small,modn,desc_module_w100_modn,desc,module,w100,0.2394423941798942,0.2888095238095238,0.085,0.0451666666666666,0.0866666666666666,0.1285833333333333,0.203,0.726,0.124,0.848
bge-small,modn,comments_file_w100_modn,comments,file,w100,0.0001428571428571,0.0007142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001
bge-small,modn,comments_module_w100_modn,comments,module,w100,0.2368517857142857,0.2854067460317461,0.08,0.0464166666666666,0.0883333333333333,0.1335833333333333,0.204,0.731,0.12,0.818
bge-small,modn,title_file_w1000_modn,title,file,w1000,0.0042245862482356,0.0398888888888888,0.03,0.0013887207676401,0.025,0.0034648026555785,0.02,0.0048737938836487,0.012,0.006332127216982
