model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.0146812092410728,0.03125,0.025,0.0109089912280701,0.0166666666666666,0.0145352167182662,0.015,0.0158797143259217,0.0095,0.0169895628107702
bge-large,recent,title_module_w100_recent,title,module,w100,0.7895766865079367,0.869172619047619,0.825,0.6884999999999999,0.3166666666666666,0.7561666666666668,0.208,0.8009166666666667,0.1355,0.9758333333333332
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.0132335437314878,0.0268055555555555,0.02,0.0059089912280701,0.0183333333333333,0.0149144736842105,0.014,0.0155508373205741,0.0125,0.0204748803827751
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.7978098214285714,0.8747202380952381,0.83,0.691,0.3183333333333333,0.7574166666666667,0.242,0.8800833333333332,0.135,0.9745833333333332
bge-large,recent,comments_file_w100_recent,comments,file,w100,0.0134190162907268,0.0272916666666666,0.02,0.0059089912280701,0.0183333333333333,0.0171513157894736,0.012,0.017484649122807,0.01,0.0220657894736842
bge-large,recent,comments_module_w100_recent,comments,module,w100,0.788582638888889,0.8691428571428571,0.82,0.6835,0.32,0.7599166666666666,0.206,0.7934166666666667,0.1355,0.9770833333333332
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.0213327767809675,0.0455833333333333,0.04,0.0135605063795853,0.0233333333333333,0.0175649255715045,0.023,0.0250502060074428,0.0155,0.0300045520999468
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.4318132936507936,0.4599305555555555,0.05,0.0320833333333333,0.3083333333333333,0.7376666666666667,0.193,0.7605,0.1215,0.8852500000000001
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.0211233867962389,0.0396309523809523,0.035,0.0110560500515995,0.0233333333333333,0.0189156991744066,0.019,0.0273740325077399,0.0134999999999999,0.0314350705194358
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.3529159722222222,0.3614226190476191,0.07,0.0495833333333333,0.305,0.7326666666666667,0.23,0.8496666666666667,0.1255,0.92775
bge-large,recent,comments_file_w1000_recent,comments,file,w1000,0.0275151113076809,0.044047619047619,0.035,0.0136520467836257,0.03,0.0309908625730994,0.023,0.0347331871345029,0.0139999999999999,0.0374350705194358
bge-large,recent,comments_module_w1000_recent,comments,module,w1000,0.3564740079365079,0.365625,0.08,0.0595833333333333,0.305,0.7351666666666666,0.229,0.8471666666666667,0.125,0.92525
bge-large,recent,title_file_all_recent,title,file,all,0.0048599671527303,0.0150892857142857,0.005,0.0001515151515151,0.0116666666666666,0.0051968700159489,0.012,0.0065817716640085,0.008,0.0168942716640085
bge-large,recent,title_module_all_recent,title,module,all,0.1242762896825397,0.1480892857142857,0.04,0.02625,0.0333333333333333,0.06625,0.022,0.07375,0.094,0.7501666666666666
bge-large,recent,desc_file_all_recent,desc,file,all,0.0028348762531328,0.0110555555555555,0.005,0.0002631578947368,0.0033333333333333,0.0005263157894736,0.005,0.003672149122807,0.007,0.0160873538011695
bge-large,recent,desc_module_all_recent,desc,module,all,0.0516130952380952,0.0627142857142857,0.04,0.02625,0.0283333333333333,0.0575,0.023,0.07375,0.017,0.1108333333333333
bge-large,recent,comments_file_all_recent,comments,file,all,0.0120722914187826,0.0289920634920634,0.025,0.0095813397129186,0.0116666666666666,0.0099960127591706,0.0069999999999999,0.0099960127591706,0.0075,0.0227182349813928
bge-large,recent,comments_module_all_recent,comments,module,all,0.1126932539682539,0.1377638888888889,0.045,0.0275,0.0283333333333333,0.0575,0.021,0.07,0.09,0.721
bge-large,modn,title_file_w100_modn,title,file,w100,0.0006283489096573,0.0030833333333333,0.0,0.0,0.0,0.0,0.002,0.0010467289719626,0.0015,0.0035467289719626
bge-large,modn,title_module_w100_modn,title,module,w100,0.2555819444444445,0.3057916666666667,0.125,0.0632499999999999,0.0866666666666666,0.1310833333333333,0.204,0.731,0.1325,0.8645833333333335
bge-large,modn,desc_file_w100_modn,desc,file,w100,0.0002655763239875,0.0029166666666666,0.0,0.0,0.0016666666666666,4.672897196261682e-05,0.002,0.0010467289719626,0.001,0.0010467289719626
bge-large,modn,desc_module_w100_modn,desc,module,w100,0.2568598875661376,0.3067083333333333,0.12,0.0640833333333333,0.0866666666666666,0.1325833333333333,0.203,0.7284999999999999,0.133,0.8831666666666667
bge-large,modn,comments_file_w100_modn,comments,file,w100,0.0027,0.0034999999999999,0.0,0.0,0.0016666666666666,0.005,0.002,0.006,0.001,0.006
bge-large,modn,comments_module_w100_modn,comments,module,w100,0.2498225198412699,0.3004861111111112,0.11,0.0540833333333333,0.0916666666666666,0.1410833333333333,0.202,0.721,0.1315,0.8773333333333333
bge-large,modn,title_file_w1000_modn,title,file,w1000,0.0070134567219264,0.0524285714285714,0.05,0.0046398030187223,0.0233333333333333,0.0062524979504962,0.018,0.0074303095006482,0.0125,0.0091607613021951
bge-large,modn,title_module_w1000_modn,title,module,w1000,0.4117962962962963,0.4579722222222221,0.195,0.1276666666666666,0.2566666666666666,0.5575833333333333,0.192,0.67,0.127,0.8339166666666666
bge-large,modn,desc_file_w1000_modn,desc,file,w1000,0.0068778791003827,0.061625,0.045,0.0029132436007436,0.0333333333333333,0.0057217928414736,0.031,0.0088907398242933,0.0225,0.0179933219527046
