model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.0935343091538815,0.1778154761904762,0.14,0.0554680389055389,0.0916666666666666,0.0915490234615234,0.064,0.1039835794460794,0.045,0.1258227141417931
bge-large,recent,title_module_w100_recent,title,module,w100,0.7646765873015873,0.7903234126984126,0.69,0.60375,0.3283333333333333,0.8175,0.22,0.9020833333333332,0.119,0.9641666666666666
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.0857065883683317,0.1686011904761905,0.115,0.0379282661782661,0.095,0.1018840523215523,0.066,0.106271386083886,0.0455,0.1335684392500181
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.7826011904761905,0.8141785714285714,0.715,0.62375,0.3366666666666666,0.8479166666666668,0.22,0.9141666666666668,0.1205,0.9791666666666664
bge-large,recent,diff_file_w100_recent,diff,file,w100,0.0860357027525667,0.1725932539682539,0.12,0.0402189407814407,0.0883333333333333,0.0914516028266028,0.068,0.1108042143667143,0.049,0.1410012675328464
bge-large,recent,diff_module_w100_recent,diff,module,w100,0.7804682539682539,0.8110555555555555,0.715,0.62625,0.3383333333333332,0.8529166666666668,0.218,0.9008333333333334,0.12,0.9766666666666666
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.1753539481938377,0.2820357142857143,0.18,0.0821890236956026,0.1516666666666666,0.1912337100468679,0.1209999999999999,0.2332458273589852,0.0875,0.3051172833370201
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.7330153769841269,0.7545257936507938,0.635,0.5616666666666666,0.3266666666666666,0.8129166666666667,0.222,0.9129166666666668,0.1195,0.9666666666666666
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.2059762561846229,0.3548234126984127,0.25,0.0944383016323805,0.1866666666666666,0.2154489482400473,0.149,0.2686562775039555,0.1045,0.3506757563359343
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.7912460317460318,0.8101904761904761,0.71,0.6241666666666668,0.3466666666666666,0.8595833333333333,0.231,0.9441666666666668,0.122,0.9904166666666666
bge-large,recent,diff_file_w1000_recent,diff,file,w1000,0.2246194482260387,0.3689900793650794,0.26,0.1095598839973839,0.1966666666666666,0.2304382500418491,0.158,0.2907774896251676,0.1125,0.3772497642724423
bge-large,recent,diff_module_w1000_recent,diff,module,w1000,0.7846403769841271,0.8044146825396825,0.7,0.6191666666666665,0.3416666666666666,0.8625,0.228,0.9325,0.122,0.9904166666666666
bge-large,recent,title_file_all_recent,title,file,all,0.1678869547855871,0.2760178571428571,0.17,0.0858841991341991,0.145,0.2029219402160191,0.112,0.2441388458424449,0.08,0.3083272162873943
bge-large,recent,title_module_all_recent,title,module,all,0.6218480489417989,0.6604484126984127,0.555,0.4970833333333332,0.265,0.6854166666666666,0.1809999999999999,0.7654166666666665,0.1065,0.8679166666666667
bge-large,recent,desc_file_all_recent,desc,file,all,0.2212312551834832,0.3675,0.275,0.1266670268545268,0.1866666666666666,0.2140086694616106,0.146,0.2737660439071429,0.113,0.3725089666155068
bge-large,recent,desc_module_all_recent,desc,module,all,0.6912063492063493,0.7184067460317459,0.59,0.5279166666666667,0.305,0.7791666666666667,0.205,0.8516666666666666,0.1145,0.9329166666666668
bge-large,recent,diff_file_all_recent,diff,file,all,0.2299039956443524,0.3717242063492063,0.25,0.1187124813999814,0.195,0.231517263864284,0.151,0.2860419277455268,0.1215,0.4088024370339772
