model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.16344240999539913,0.24049603174603174,0.18,0.10689484126984126,0.11166666666666666,0.17420165945165944,0.085,0.20542915176610826,0.0565,0.25596919505615157
bge-small,recent,title_module_w100_recent,title,module,w100,0.882235119047619,0.9071666666666667,0.865,0.8275,0.3266666666666667,0.9091666666666667,0.20800000000000002,0.9416666666666665,0.106,0.9520833333333333
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.16742961909840795,0.2635753968253968,0.2,0.10724116161616162,0.12166666666666666,0.18404888167388164,0.095,0.2316154401154401,0.056999999999999995,0.2574479107848673
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.8929156746031746,0.92125,0.89,0.85,0.325,0.9120833333333335,0.203,0.9254166666666666,0.106,0.9520833333333333
bge-small,recent,diff_file_w100_recent,diff,file,w100,0.16879403401621956,0.26189285714285715,0.19,0.10079761904761905,0.125,0.18604978354978352,0.092,0.21687539996235647,0.063,0.27278052261747915
bge-small,recent,diff_module_w100_recent,diff,module,w100,0.8822490079365078,0.9122499999999999,0.87,0.8275,0.32166666666666666,0.9045833333333334,0.20600000000000002,0.9341666666666666,0.10600000000000001,0.9520833333333333
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.21600532538034684,0.30420833333333336,0.205,0.11661011904761905,0.16,0.24596586687848132,0.11800000000000001,0.29003948770210214,0.08,0.3584174059794769
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.7811542658730158,0.7996309523809524,0.68,0.6470833333333332,0.31333333333333335,0.8616666666666667,0.20800000000000002,0.94125,0.11200000000000002,0.9866666666666667
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.22852307199220814,0.3287936507936508,0.23,0.12649827694235588,0.15499999999999997,0.23390054331315774,0.124,0.29844374316885763,0.087,0.38812053859565304
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.7824384920634921,0.8007499999999999,0.66,0.6270833333333333,0.3316666666666667,0.9116666666666667,0.21,0.94875,0.11199999999999999,0.9866666666666667
