model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.06348793145956608,0.10750992063492064,0.065,0.03838888888888889,0.04666666666666666,0.06951677702639242,0.036000000000000004,0.083083157227388,0.029000000000000005,0.1282458556400864
bge-large,recent,title_module_w100_recent,title,module,w100,0.8444434523809525,0.8496666666666667,0.76,0.7525,0.31333333333333335,0.9225,0.19899999999999998,0.97,0.1025,0.985
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.05776443001443002,0.10050396825396826,0.06,0.030999999999999996,0.04333333333333333,0.06849603174603175,0.036000000000000004,0.09662914862914863,0.0255,0.12564700577200574
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.8895684523809524,0.8953333333333333,0.845,0.8375,0.3183333333333333,0.92875,0.196,0.95,0.1025,0.985
bge-large,recent,comments_file_w100_recent,comments,file,w100,0.06308002449442666,0.10542063492063491,0.06,0.035880952380952374,0.04333333333333333,0.06801104209799862,0.037000000000000005,0.09411223257418909,0.0285,0.1396143970763536
bge-large,recent,comments_module_w100_recent,comments,module,w100,0.8835267857142857,0.8890833333333333,0.84,0.8325,0.31,0.90625,0.195,0.945,0.1025,0.985
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.18960130048508175,0.23997619047619045,0.15,0.09976785714285714,0.11666666666666665,0.2158015873015873,0.09600000000000002,0.27302980325137516,0.063,0.3432599619815339
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.882669642857143,0.8824166666666667,0.8,0.7925,0.325,0.9525,0.201,0.975,0.1045,0.99875
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.20433893251997745,0.25322619047619044,0.155,0.11366666666666667,0.13666666666666663,0.24764087301587304,0.102,0.2998928571428571,0.066,0.34793059690216877
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.8712966269841271,0.871375,0.78,0.7725,0.3266666666666667,0.9575,0.201,0.98,0.1045,0.99875
bge-large,recent,comments_file_w1000_recent,comments,file,w1000,0.2273263388017977,0.2798630952380952,0.175,0.12993650793650793,0.13666666666666666,0.268765873015873,0.105,0.3154900793650794,0.07150000000000001,0.3805565009126882
bge-large,recent,comments_module_w1000_recent,comments,module,w1000,0.8850600198412698,0.8850476190476191,0.8,0.7925,0.3266666666666667,0.9575,0.19899999999999998,0.9725,0.10450000000000001,0.99875
bge-large,recent,title_file_all_recent,title,file,all,0.15386253848241027,0.1913809523809524,0.085,0.07126479289940829,0.09666666666666666,0.19624783976707053,0.08,0.24128644219028836,0.059000000000000004,0.3185867732694656
bge-large,recent,title_module_all_recent,title,module,all,0.7640853174603174,0.767095238095238,0.65,0.63875,0.28833333333333333,0.84875,0.18799999999999997,0.91125,0.10400000000000001,0.99
bge-large,recent,desc_file_all_recent,desc,file,all,0.17873440633344878,0.2436765873015873,0.15,0.09938095238095236,0.10999999999999999,0.19047821594978787,0.08900000000000001,0.24858932706089895,0.0665,0.34665881285195665
bge-large,recent,desc_module_all_recent,desc,module,all,0.7631651785714285,0.7666527777777778,0.64,0.62875,0.29,0.85375,0.19299999999999998,0.93625,0.1045,0.99875
bge-large,recent,comments_file_all_recent,comments,file,all,0.20741344298636663,0.2770575396825397,0.185,0.11928860242321783,0.12499999999999999,0.21873727392080233,0.102,0.2934824430029279,0.075,0.3922829915346638
bge-large,recent,comments_module_all_recent,comments,module,all,0.7569419642857141,0.7599702380952381,0.62,0.60875,0.29833333333333334,0.8725,0.19299999999999998,0.93375,0.1045,0.99875
bge-large,modn,title_file_w100_modn,title,file,w100,0.014953577033517578,0.024630952380952382,0.015,0.010714285714285714,0.01,0.018214587519078375,0.008,0.02071488932387103,0.008,0.027216398347834337
bge-large,modn,title_module_w100_modn,title,module,w100,0.8531973755411255,0.8703452380952382,0.795,0.7629545454545454,0.31833333333333336,0.8909469696969697,0.21,0.9410227272727272,0.113,0.9819696969696969
bge-large,modn,desc_file_w100_modn,desc,file,w100,0.018337911724014368,0.031208333333333334,0.01,0.005833333333333334,0.014999999999999998,0.02654792085241171,0.012,0.02779852446199703,0.011000000000000001,0.04380003348596032
bge-large,modn,desc_module_w100_modn,desc,module,w100,0.8516626533189033,0.8717619047619047,0.795,0.7604545454545455,0.32,0.8926136363636364,0.20600000000000002,0.9306060606060607,0.113,0.9819696969696969
bge-large,modn,comments_file_w100_modn,comments,file,w100,0.027918276417979518,0.039505952380952385,0.02,0.02,0.018333333333333333,0.032797920852411705,0.014000000000000002,0.033298524461997034,0.011000000000000001,0.045049731681167667
bge-large,modn,comments_module_w100_modn,comments,module,w100,0.851689439033189,0.8713452380952381,0.795,0.7604545454545455,0.3183333333333333,0.8876136363636364,0.21100000000000002,0.9443560606060606,0.113,0.9819696969696969
bge-large,modn,title_file_w1000_modn,title,file,w1000,0.059558971996273885,0.0937202380952381,0.06,0.037166968471459325,0.04333333333333333,0.06596957709357597,0.035,0.0912404104269093,0.023,0.10557864572102695
bge-large,modn,title_module_w1000_modn,title,module,w1000,0.766088924963925,0.7823869047619048,0.65,0.6071212121212121,0.31666666666666665,0.8684090909090909,0.20800000000000002,0.9289015151515152,0.11600000000000002,0.9915909090909091
bge-large,modn,desc_file_w1000_modn,desc,file,w1000,0.058165500204280726,0.09854761904761905,0.075,0.040679034836466864,0.05166666666666666,0.06008472355701965,0.037000000000000005,0.06721277814699712,0.026500000000000003,0.09707963294098718
bge-large,modn,desc_module_w1000_modn,desc,module,w1000,0.7660363455988457,0.7816984126984127,0.645,0.6079545454545454,0.31333333333333335,0.8684469696969697,0.20500000000000004,0.9206060606060606,0.11599999999999999,0.9915909090909091
bge-large,modn,comments_file_w1000_modn,comments,file,w1000,0.0606062889976781,0.10151190476190478,0.075,0.03693253623702709,0.05333333333333332,0.06968613743850151,0.043,0.0863583096755378,0.029999999999999995,0.11166786823510481
bge-large,modn,comments_module_w1000_modn,comments,module,w1000,0.7657041847041846,0.7799285714285715,0.635,0.5979545454545455,0.32166666666666666,0.8796969696969696,0.20900000000000002,0.9326893939393939,0.1165,0.9920454545454546
bge-large,modn,title_file_all_modn,title,file,all,0.16914317389731326,0.24119841269841266,0.175,0.10674402686198523,0.12,0.1704030609303863,0.10099999999999999,0.221556142617835,0.07200000000000001,0.2918513392922971
bge-large,modn,title_module_all_modn,title,module,all,0.6547453553391054,0.6709980158730159,0.505,0.4691666666666666,0.2733333333333334,0.745909090909091,0.18899999999999997,0.8434848484848484,0.115,0.9824242424242425
bge-large,modn,desc_file_all_modn,desc,file,all,0.16636022077204216,0.2317420634920635,0.155,0.09297407313150514,0.115,0.18022660310029068,0.092,0.22287146441295722,0.0675,0.30736658522627364
bge-large,modn,desc_module_all_modn,desc,module,all,0.6222963564213564,0.6336488095238095,0.475,0.4429545454545455,0.265,0.7159469696969697,0.18600000000000003,0.8268181818181817,0.115,0.9894696969696969
bge-large,modn,comments_file_all_modn,comments,file,all,0.1867711872882301,0.24878769841269843,0.16,0.09604778065072182,0.12166666666666665,0.2214858425887838,0.099,0.27407654418985855,0.0705,0.33154174639237405
