model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.56711427154195,0.6006924603174604,0.545,0.4055892857142857,0.3233333333333333,0.5694603174603174,0.223,0.6062698412698413,0.1295,0.6499384920634921
bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.5685635582010582,0.6022559523809524,0.555,0.4122559523809523,0.3116666666666667,0.5693650793650794,0.221,0.6179603174603175,0.1255,0.6459305555555556
bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.4548629298941799,0.4903154761904761,0.43,0.32825,0.2416666666666666,0.4656388888888888,0.166,0.5127698412698414,0.0939999999999999,0.5842281746031746
bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.7950335317460318,0.8155119047619048,0.71,0.52325,0.4349999999999999,0.8825,0.286,0.9471666666666668,0.1505,0.995
bge-small,recent,desc_qdesc_module_w100_recent,desc,desc,module,w100,0.7845238095238096,0.8045476190476191,0.69,0.5065833333333333,0.43,0.8645833333333335,0.285,0.9455,0.1505,0.995
bge-small,recent,desc_qcomments_module_w100_recent,desc,comments,module,w100,0.7340327380952381,0.7552500000000001,0.62,0.4424166666666666,0.4083333333333332,0.8258333333333333,0.286,0.9455,0.1505,0.995
bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.5775688019652305,0.6082936507936507,0.57,0.4178809523809523,0.3266666666666666,0.5612936507936508,0.229,0.6028174603174603,0.129,0.6467936507936508
bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.5445016369047618,0.5782876984126983,0.525,0.382047619047619,0.3116666666666666,0.5504126984126984,0.214,0.5865079365079365,0.124,0.6347400793650793
bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.446850281084656,0.4984186507936508,0.42,0.3065833333333334,0.26,0.4799007936507937,0.171,0.511984126984127,0.0995,0.5927876984126983
bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.7904523809523809,0.8072261904761905,0.695,0.5074166666666666,0.435,0.86875,0.283,0.9271666666666668,0.1505,0.995
bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.7598075396825397,0.7765595238095239,0.645,0.46325,0.43,0.8579166666666667,0.284,0.9313333333333332,0.1505,0.995
bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.7531636904761905,0.7757976190476189,0.645,0.4645,0.4133333333333333,0.84,0.286,0.943,0.1505,0.995
bge-small,recent,diff_qtitle_file_w100_recent,diff,title,file,w100,0.5585569090136054,0.6030337301587301,0.545,0.38005357142857144,0.32166666666666666,0.5591547619047619,0.231,0.6071150793650794,0.13150000000000003,0.6599305555555556
bge-small,recent,diff_qdesc_file_w100_recent,diff,desc,file,w100,0.5613852465986394,0.6002757936507936,0.54,0.3850257936507937,0.3183333333333333,0.5655853174603174,0.233,0.626609126984127,0.1315,0.6654444444444444
bge-small,recent,diff_qcomments_file_w100_recent,diff,comments,file,w100,0.5140800217309145,0.5600674603174602,0.505,0.35940079365079364,0.2866666666666666,0.5095436507936507,0.20900000000000002,0.564061507936508,0.12,0.6072242063492063
bge-small,recent,diff_qtitle_module_w100_recent,diff,title,module,w100,0.8138936507936507,0.8303928571428572,0.74,0.5586666666666666,0.42499999999999993,0.8645833333333335,0.28700000000000003,0.9405,0.1505,0.995
bge-small,recent,diff_qdesc_module_w100_recent,diff,desc,module,w100,0.8247349206349207,0.8449761904761905,0.76,0.5724166666666667,0.425,0.8679166666666667,0.28800000000000003,0.9438333333333333,0.1505,0.995
bge-small,recent,diff_qcomments_module_w100_recent,diff,comments,module,w100,0.7468271825396826,0.7634642857142856,0.66,0.47991666666666666,0.39166666666666666,0.7583333333333334,0.28600000000000003,0.9363333333333332,0.15050000000000002,0.995
bge-small,recent,title_qtitle_file_w1000_recent,title,title,file,w1000,0.5276172650541698,0.5910674603174604,0.515,0.3729642857142858,0.26666666666666666,0.5146369047619048,0.203,0.6005853174603175,0.134,0.6965079365079364
bge-small,recent,title_qdesc_file_w1000_recent,title,desc,file,w1000,0.5208703121063241,0.5873670634920635,0.515,0.3714365079365079,0.27166666666666667,0.5192063492063492,0.19399999999999998,0.581843253968254,0.131,0.6899503968253967
bge-small,recent,title_qcomments_file_w1000_recent,title,comments,file,w1000,0.4434340876165281,0.5086468253968254,0.42,0.31588888888888894,0.22666666666666666,0.45694444444444443,0.16400000000000003,0.5353253968253968,0.105,0.6366349206349206
bge-small,recent,title_qtitle_module_w1000_recent,title,title,module,w1000,0.7877303571428572,0.814047619047619,0.695,0.5201666666666667,0.4133333333333333,0.8606666666666666,0.28800000000000003,0.9682499999999998,0.15100000000000002,1.0
bge-small,recent,title_qdesc_module_w1000_recent,title,desc,module,w1000,0.7716759920634921,0.792297619047619,0.65,0.4780833333333333,0.42166666666666663,0.8798333333333334,0.28900000000000003,0.9715833333333334,0.15100000000000002,1.0
bge-small,recent,title_qcomments_module_w1000_recent,title,comments,module,w1000,0.7221194444444444,0.7404166666666667,0.595,0.4268333333333334,0.39666666666666656,0.8119166666666666,0.278,0.9169999999999999,0.15100000000000002,1.0
bge-small,recent,desc_qtitle_file_w1000_recent,desc,title,file,w1000,0.5234543753149408,0.5977281746031746,0.52,0.37768650793650793,0.2816666666666666,0.516281746031746,0.20800000000000002,0.6043829365079365,0.13,0.6725496031746032
bge-small,recent,desc_qdesc_file_w1000_recent,desc,desc,file,w1000,0.5326002905328798,0.6118769841269841,0.545,0.3854920634920635,0.2783333333333333,0.5185396825396825,0.20700000000000002,0.5955714285714286,0.1335,0.6968253968253968
bge-small,recent,desc_qcomments_file_w1000_recent,desc,comments,file,w1000,0.4265825892857143,0.49647420634920636,0.405,0.2996111111111111,0.23,0.4545337301587302,0.162,0.5169642857142857,0.1,0.6057837301587302
bge-small,recent,desc_qtitle_module_w1000_recent,desc,title,module,w1000,0.7661430555555555,0.7959999999999999,0.67,0.49516666666666664,0.40666666666666673,0.8481666666666666,0.28800000000000003,0.9682499999999998,0.15100000000000002,1.0
bge-small,recent,desc_qdesc_module_w1000_recent,desc,desc,module,w1000,0.7459468253968253,0.7727142857142857,0.625,0.44325000000000003,0.41166666666666674,0.8531666666666666,0.28800000000000003,0.9657499999999999,0.15100000000000002,1.0
bge-small,recent,desc_qcomments_module_w1000_recent,desc,comments,module,w1000,0.6817156746031745,0.7027142857142857,0.55,0.3740833333333333,0.38666666666666666,0.7741666666666666,0.276,0.9024166666666668,0.15100000000000002,1.0
bge-small,recent,diff_qtitle_file_w1000_recent,diff,title,file,w1000,0.5237342261904762,0.5918948412698413,0.505,0.37004761904761907,0.2866666666666666,0.5178273809523809,0.22,0.6074067460317462,0.1305,0.6736805555555556
bge-small,recent,diff_qdesc_file_w1000_recent,diff,desc,file,w1000,0.5212183752204586,0.5862777777777778,0.5,0.3599007936507937,0.28666666666666674,0.514329365079365,0.21900000000000003,0.6064583333333333,0.13,0.6756289682539683
bge-small,recent,diff_qcomments_file_w1000_recent,diff,comments,file,w1000,0.4149360008818342,0.4801587301587301,0.41,0.28423412698412703,0.235,0.4129603174603174,0.183,0.4902559523809524,0.107,0.556670634920635
bge-small,recent,diff_qtitle_module_w1000_recent,diff,title,module,w1000,0.751646626984127,0.786125,0.64,0.46891666666666665,0.4133333333333333,0.8573333333333332,0.28600000000000003,0.961,0.15100000000000002,1.0
bge-small,recent,diff_qdesc_module_w1000_recent,diff,desc,module,w1000,0.7523494047619047,0.7819583333333333,0.63,0.4690833333333333,0.4233333333333333,0.8823333333333333,0.28700000000000003,0.9611666666666666,0.15100000000000002,1.0
bge-small,recent,diff_qcomments_module_w1000_recent,diff,comments,module,w1000,0.6901575396825398,0.711577380952381,0.55,0.4040833333333333,0.38666666666666666,0.78125,0.269,0.8751666666666668,0.15100000000000002,1.0
bge-small,recent,title_qtitle_file_all_recent,title,title,file,all,0.42603886920508943,0.5281210317460318,0.44,0.3169226190476191,0.225,0.4221785714285714,0.17200000000000004,0.5196349206349207,0.1065,0.5970138888888888
bge-small,recent,title_qdesc_file_all_recent,title,desc,file,all,0.3888425925925925,0.5002777777777778,0.415,0.2983809523809524,0.19666666666666666,0.3853234126984127,0.156,0.4797123015873015,0.098,0.554890873015873
bge-small,recent,title_qcomments_file_all_recent,title,comments,file,all,0.237744708994709,0.289234126984127,0.205,0.16766666666666666,0.12166666666666665,0.24806150793650794,0.09699999999999999,0.31949801587301585,0.061,0.38267063492063486
bge-small,recent,title_qtitle_module_all_recent,title,title,module,all,0.7025410714285715,0.7388511904761904,0.585,0.43616666666666665,0.36666666666666664,0.7752500000000001,0.26300000000000007,0.8949166666666667,0.15000000000000002,0.99775
bge-small,recent,title_qdesc_module_all_recent,title,desc,module,all,0.6890509920634921,0.7247380952380954,0.57,0.42099999999999993,0.36666666666666664,0.7833333333333333,0.26000000000000006,0.8940833333333333,0.14800000000000002,0.9860833333333333
bge-small,recent,title_qcomments_module_all_recent,title,comments,module,all,0.5590712301587302,0.5773988095238095,0.38,0.28225,0.29666666666666663,0.62275,0.24300000000000005,0.8351666666666665,0.14700000000000002,0.9835833333333334
bge-small,recent,desc_qtitle_file_all_recent,desc,title,file,all,0.38062586687452765,0.45486309523809526,0.365,0.2681448412698413,0.18666666666666665,0.37287301587301586,0.145,0.43805753968253974,0.10949999999999999,0.581015873015873
bge-small,recent,desc_qdesc_file_all_recent,desc,desc,file,all,0.42219880952380956,0.5212876984126984,0.435,0.2957420634920635,0.22833333333333333,0.43076785714285715,0.168,0.5013571428571428,0.1125,0.5855833333333333
bge-small,recent,desc_qcomments_file_all_recent,desc,comments,file,all,0.31585195578231295,0.3951785714285714,0.3,0.2131111111111111,0.17166666666666663,0.33445833333333325,0.132,0.4111369047619047,0.0805,0.4786071428571428
bge-small,recent,desc_qtitle_module_all_recent,desc,title,module,all,0.7018678571428572,0.741654761904762,0.59,0.4445,0.37,0.7773333333333333,0.256,0.8789166666666667,0.14950000000000002,0.99675
bge-small,recent,desc_qdesc_module_all_recent,desc,desc,module,all,0.6849293650793651,0.7256369047619049,0.565,0.41225,0.37,0.7816666666666667,0.26,0.8917499999999999,0.14750000000000002,0.9869166666666667
bge-small,recent,desc_qcomments_module_all_recent,desc,comments,module,all,0.5746505952380951,0.6009424603174603,0.4,0.2805833333333333,0.3266666666666667,0.6954166666666666,0.24200000000000002,0.8392499999999999,0.14700000000000002,0.9827499999999999
bge-small,recent,diff_qtitle_file_all_recent,diff,title,file,all,0.40965161407155454,0.5095753968253969,0.4,0.2691448412698413,0.25,0.45935714285714285,0.18400000000000002,0.5258412698412698,0.11,0.5876726190476191
bge-small,recent,diff_qdesc_file_all_recent,diff,desc,file,all,0.43440393518518516,0.5266646825396826,0.425,0.30251984126984127,0.25,0.4668988095238095,0.179,0.5283849206349206,0.109,0.6049880952380953
bge-small,recent,diff_qcomments_file_all_recent,diff,comments,file,all,0.3249076436130008,0.3875496031746032,0.295,0.23376984126984127,0.18,0.34764880952380955,0.12899999999999998,0.3903849206349206,0.08199999999999999,0.46423809523809517
bge-small,recent,diff_qtitle_module_all_recent,diff,title,module,all,0.6839909722222223,0.7178749999999999,0.545,0.4243333333333334,0.35166666666666674,0.7494166666666666,0.268,0.9155833333333334,0.14850000000000002,0.98275
bge-small,recent,diff_qdesc_module_all_recent,diff,desc,module,all,0.6902126984126984,0.721220238095238,0.545,0.4293333333333333,0.35,0.759,0.267,0.9201666666666665,0.15000000000000002,0.9940000000000001
bge-small,recent,diff_qcomments_module_all_recent,diff,comments,module,all,0.5965012896825397,0.6267103174603175,0.46,0.35200000000000004,0.30833333333333335,0.6415000000000001,0.22800000000000004,0.7695833333333333,0.14600000000000002,0.96025
