model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.0006634615384615384,0.0034999999999999996,0.0,0.0,0.0016666666666666666,0.00125,0.002,0.0014423076923076922,0.001,0.0014423076923076922
bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.00020833333333333332,0.0008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.00125
bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.3360677933673469,0.4090436507936508,0.27,0.18196428571428572,0.195,0.36397023809523815,0.147,0.4546845238095238,0.1105,0.6389107142857142
bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.2975852182539682,0.365984126984127,0.215,0.14454761904761904,0.17833333333333332,0.33359523809523806,0.14700000000000002,0.46069047619047615,0.107,0.6374940476190476
bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.2972380952380952,0.3555952380952381,0.22,0.15654761904761905,0.16333333333333333,0.30726785714285715,0.147,0.4506071428571428,0.1075,0.6274940476190476
bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.0022203822412155743,0.00938888888888889,0.005,0.00125,0.003333333333333333,0.0014423076923076922,0.002,0.0014423076923076922,0.0025,0.0068165360873694205
bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.005350724121557455,0.007583333333333333,0.005,0.005,0.0016666666666666666,0.005,0.002,0.00625,0.002,0.00650403608736942
bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.005321318342151675,0.006964285714285714,0.005,0.005,0.0016666666666666666,0.005,0.002,0.00625,0.0015000000000000002,0.006311728395061729
bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.35378599773242625,0.43497817460317456,0.305,0.21104761904761904,0.19166666666666665,0.3589285714285714,0.153,0.46919047619047616,0.10949999999999999,0.6275773809523809
bge-small,recent,desc_qdesc_module_w100_recent,desc,desc,module,w100,0.3253257629440665,0.3923194444444444,0.24,0.17025595238095234,0.185,0.3562619047619047,0.14400000000000002,0.44110714285714286,0.1125,0.660077380952381
bge-small,recent,desc_qcomments_module_w100_recent,desc,comments,module,w100,0.31165453042328045,0.37796230158730154,0.235,0.16588095238095235,0.175,0.3466845238095238,0.146,0.4453988095238095,0.10949999999999999,0.6506190476190477
