model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.001040140415140415,0.00875,0.005,0.0007142857142857143,0.003333333333333333,0.0012698412698412698,0.0030000000000000005,0.001462148962148962,0.0015000000000000002,0.001462148962148962
bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.0017334776162415916,0.011595238095238094,0.0,0.0,0.006666666666666666,0.0020703270159791896,0.006000000000000001,0.0046427907840951325,0.004,0.0059126320539364015
bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.0014715851781069173,0.011972222222222223,0.0,0.0,0.005,0.0013034188034188033,0.005,0.003267704517704518,0.0045000000000000005,0.006412632053936402
bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.6386785714285714,0.6398392857142856,0.375,0.3666666666666667,0.305,0.895,0.2,0.9716666666666667,0.10400000000000001,1.0
bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.7940535714285712,0.8007698412698412,0.645,0.6283333333333333,0.325,0.95,0.203,0.9841666666666665,0.10400000000000001,1.0
bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.7677083333333331,0.7746388888888889,0.58,0.5633333333333332,0.3283333333333333,0.96,0.204,0.9891666666666665,0.10400000000000002,1.0
bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.002059390877939265,0.014797619047619049,0.005,0.0007142857142857143,0.005,0.0025198412698412696,0.006000000000000001,0.0041010378510378505,0.004,0.004762328173618496
bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.004753539918862499,0.022083333333333333,0.01,0.003,0.011666666666666665,0.006386752136752136,0.008,0.0065480424593327815,0.005,0.007659153570443893
bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.0014518886131789357,0.018333333333333333,0.01,0.0006612903225806452,0.008333333333333333,0.0019647091259994485,0.005,0.0019647091259994485,0.0030000000000000005,0.002798042459332782
bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.6655575396825397,0.6661984126984126,0.44,0.4316666666666667,0.30333333333333334,0.8933333333333334,0.19899999999999998,0.9641666666666666,0.10400000000000001,1.0
bge-small,recent,desc_qdesc_module_w100_recent,desc,desc,module,w100,0.7267480158730157,0.7326309523809524,0.535,0.5216666666666666,0.3183333333333333,0.93,0.2,0.9691666666666666,0.10300000000000001,0.9933333333333333
bge-small,recent,desc_qcomments_module_w100_recent,desc,comments,module,w100,0.7189642857142856,0.7246666666666667,0.505,0.4916666666666667,0.32,0.935,0.203,0.9841666666666665,0.10300000000000001,0.9933333333333333
bge-small,recent,diff_qtitle_file_w100_recent,diff,title,file,w100,0.0022542908626358837,0.020047619047619047,0.01,0.001322463768115942,0.011666666666666665,0.0031983463396506873,0.008,0.0033596366622313323,0.0045000000000000005,0.003814182116776787
bge-small,recent,diff_qdesc_file_w100_recent,diff,desc,file,w100,0.002758785471969202,0.023047619047619046,0.01,0.000572463768115942,0.013333333333333332,0.0033596366622313323,0.009000000000000001,0.004192969995564666,0.006500000000000001,0.009054081106675776
bge-small,recent,diff_qcomments_file_w100_recent,diff,comments,file,w100,0.0017786267418104726,0.021214285714285713,0.01,0.000572463768115942,0.011666666666666665,0.0021096366622313325,0.007000000000000001,0.0021096366622313325,0.005,0.005442969995564666
bge-small,recent,diff_qtitle_module_w100_recent,diff,title,module,w100,0.6968035714285715,0.6958531746031746,0.5,0.495,0.3,0.8766666666666667,0.2,0.9716666666666666,0.10400000000000001,1.0
bge-small,recent,diff_qdesc_module_w100_recent,diff,desc,module,w100,0.7511111111111112,0.7557777777777777,0.58,0.5666666666666668,0.32,0.935,0.201,0.9741666666666666,0.10399999999999998,1.0
bge-small,recent,diff_qcomments_module_w100_recent,diff,comments,module,w100,0.6917777777777778,0.695388888888889,0.49,0.47916666666666674,0.3,0.875,0.20199999999999999,0.9791666666666665,0.10350000000000001,0.9983333333333333
bge-small,recent,title_qtitle_file_w1000_recent,title,title,file,w1000,0.030253944756748554,0.07221230158730159,0.045,0.009438339438339438,0.03333333333333333,0.029435939284729606,0.029000000000000005,0.04385260595139627,0.023500000000000007,0.07032454154657872
bge-small,recent,title_qdesc_file_w1000_recent,title,desc,file,w1000,0.04141444604969449,0.10013690476190476,0.06,0.017105006105006103,0.05,0.04384806166056166,0.040999999999999995,0.05936307201252854,0.031,0.08747204637150288
