model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.01725484407715432,0.03214484126984127,0.015,0.010142857142857143,0.015,0.02221428571428571,0.011000000000000001,0.027928571428571428,0.0085,0.03727832754325017
bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.014418281080548162,0.023708333333333335,0.015,0.008333333333333333,0.009999999999999998,0.019047619047619046,0.006999999999999999,0.024047619047619047,0.006000000000000001,0.03124913733609386
bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.013529392191659273,0.022375,0.015,0.008333333333333333,0.008333333333333333,0.014047619047619047,0.006000000000000001,0.019047619047619046,0.005,0.0256935817805383
bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.5602348922902494,0.6021666666666667,0.42,0.33379761904761907,0.3133333333333333,0.6981309523809522,0.22400000000000003,0.8220952380952382,0.12100000000000001,0.8454404761904761
bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.5026628968253968,0.5519166666666666,0.365,0.26829761904761906,0.29166666666666663,0.6608809523809523,0.223,0.8197619047619048,0.12100000000000001,0.845440476190476
bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.4969119047619047,0.5463333333333332,0.355,0.26079761904761906,0.2766666666666666,0.6246309523809525,0.22200000000000003,0.8176785714285714,0.12100000000000001,0.8454404761904761
bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.023853219790331594,0.03372817460317461,0.025,0.020142857142857143,0.011666666666666665,0.023642857142857143,0.008,0.024476190476190474,0.0075,0.03945548654244306
bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.017449307204527052,0.02703373015873016,0.015,0.011666666666666665,0.01,0.017523809523809525,0.007000000000000001,0.022523809523809522,0.0085,0.03644243838532711
bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.020530704986489807,0.03042261904761905,0.02,0.016666666666666666,0.01,0.017523809523809525,0.009000000000000001,0.025023809523809525,0.008,0.032553549496438225
bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.5593109126984127,0.61125,0.415,0.3202142857142857,0.3133333333333333,0.718797619047619,0.22,0.8110952380952381,0.12100000000000001,0.845440476190476
bge-small,recent,desc_qdesc_module_w100_recent,desc,desc,module,w100,0.529863492063492,0.5809166666666666,0.38,0.2822976190476191,0.31,0.7073809523809524,0.22000000000000003,0.8152619047619046,0.12100000000000001,0.8454404761904761
bge-small,recent,desc_qcomments_module_w100_recent,desc,comments,module,w100,0.5373396825396825,0.5943333333333333,0.41,0.299547619047619,0.30166666666666664,0.6898809523809524,0.21899999999999997,0.8102619047619047,0.12100000000000001,0.8454404761904764
bge-small,recent,diff_qtitle_file_w100_recent,diff,title,file,w100,0.01632078961528114,0.03163095238095238,0.015,0.007642857142857142,0.011666666666666665,0.019547619047619046,0.013000000000000003,0.03463236481033091,0.008,0.03706093623890234
bge-small,recent,diff_qdesc_file_w100_recent,diff,desc,file,w100,0.017720226885481125,0.029444444444444443,0.02,0.011809523809523808,0.011666666666666665,0.020023809523809524,0.008,0.020738095238095236,0.0075,0.03412187247780468
bge-small,recent,diff_qcomments_file_w100_recent,diff,comments,file,w100,0.0170453995157385,0.029513888888888885,0.02,0.011809523809523808,0.011666666666666665,0.018357142857142857,0.01,0.023238095238095235,0.0075,0.03412187247780468
bge-small,recent,diff_qtitle_module_w100_recent,diff,title,module,w100,0.5497906462585034,0.599,0.4,0.3031309523809524,0.325,0.7405119047619046,0.22200000000000003,0.8170952380952382,0.12100000000000001,0.845440476190476
bge-small,recent,diff_qdesc_module_w100_recent,diff,desc,module,w100,0.5485470238095238,0.5968333333333332,0.4,0.3072976190476191,0.3216666666666667,0.7408809523809523,0.22,0.8140119047619048,0.12100000000000001,0.8454404761904761
bge-small,recent,diff_qcomments_module_w100_recent,diff,comments,module,w100,0.5480291666666667,0.601,0.405,0.304547619047619,0.3183333333333333,0.7333809523809524,0.22,0.8152619047619047,0.121,0.8454404761904761
bge-small,recent,title_qtitle_file_w1000_recent,title,title,file,w1000,0.03422442231543269,0.07898412698412699,0.045,0.018351987142022207,0.03333333333333333,0.03403933581030308,0.027000000000000003,0.04664617341714068,0.0245,0.07904661010355939
bge-small,recent,title_qdesc_file_w1000_recent,title,desc,file,w1000,0.02658654297021967,0.046908730158730164,0.02,0.013333333333333332,0.02,0.024601190476190474,0.021,0.038789110842076945,0.015500000000000003,0.05615639930236657
bge-small,recent,title_qcomments_file_w1000_recent,title,comments,file,w1000,0.023385417001085224,0.043236111111111114,0.02,0.012666666666666668,0.02,0.02068593623890234,0.018000000000000002,0.03323355528652139,0.014500000000000002,0.04855538920135647
bge-small,recent,title_qtitle_module_w1000_recent,title,title,module,w1000,0.6303854828042329,0.6655813492063493,0.495,0.3874166666666666,0.33333333333333326,0.7334285714285714,0.23600000000000002,0.8594761904761904,0.13950000000000004,0.965452380952381
bge-small,recent,title_qdesc_module_w1000_recent,title,desc,module,w1000,0.672561574074074,0.7134642857142857,0.57,0.46116666666666667,0.3283333333333333,0.7387142857142857,0.23800000000000004,0.8565595238095238,0.138,0.9580714285714285
