model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.02315557662426326,0.0596984126984127,0.025,0.004797619047619048,0.03166666666666666,0.028096584896584894,0.027999999999999997,0.043236049822340146,0.022000000000000002,0.05612396468525502
bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.01501592153615003,0.030593253968253967,0.01,0.006666666666666666,0.008333333333333333,0.00907795698924731,0.012000000000000002,0.025286290322580642,0.0125,0.04327745193874226
bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.016185454879790517,0.036765873015873016,0.01,0.006666666666666666,0.015,0.010796030582320903,0.016,0.026468649629939955,0.014499999999999999,0.04557182423311455
bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.5271333333333333,0.5923928571428572,0.34,0.20016666666666666,0.325,0.6138333333333333,0.2690000000000001,0.8105,0.16700000000000004,0.9885
bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.48160376984126985,0.526984126984127,0.265,0.1435,0.305,0.5509166666666667,0.26400000000000007,0.775,0.16800000000000004,0.9945
bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.4942402777777778,0.5391845238095239,0.285,0.15975,0.305,0.55175,0.266,0.77875,0.16800000000000004,0.9945
bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.018844678932178935,0.04288095238095238,0.015,0.0025476190476190473,0.028333333333333332,0.018823412698412697,0.025,0.030903860028860027,0.020500000000000004,0.04663578643578644
bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.012521778632889741,0.03343650793650794,0.015,0.0072499999999999995,0.011666666666666665,0.010873737373737374,0.011000000000000001,0.01687373737373737,0.0105,0.030190957190957192
bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.014815339238950351,0.044103174603174596,0.025,0.008115800865800866,0.015,0.013254689754689755,0.013999999999999999,0.021754689754689752,0.011000000000000001,0.035071909571909574
bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.5061057539682539,0.5669960317460316,0.325,0.19583333333333336,0.32,0.5859166666666666,0.265,0.804,0.166,0.9851666666666666
bge-small,recent,desc_qdesc_module_w100_recent,desc,desc,module,w100,0.516656746031746,0.5744464285714286,0.365,0.22616666666666668,0.3133333333333333,0.5623333333333334,0.2710000000000001,0.8029166666666666,0.1675,0.9928333333333333
bge-small,recent,desc_qcomments_module_w100_recent,desc,comments,module,w100,0.5158630952380953,0.5795,0.375,0.2245,0.31833333333333336,0.5748333333333333,0.2690000000000001,0.7920833333333333,0.16750000000000004,0.9928333333333333
bge-small,recent,diff_qtitle_file_w100_recent,diff,title,file,w100,0.027540801724730297,0.06331150793650794,0.04,0.013797619047619048,0.028333333333333332,0.023609126984126982,0.029000000000000005,0.03405862193362194,0.0225,0.04858780663780664
bge-small,recent,diff_qdesc_file_w100_recent,diff,desc,file,w100,0.017375469834398406,0.04071428571428571,0.015,0.0072499999999999995,0.015,0.01698484848484848,0.019000000000000003,0.031017676767676767,0.016,0.04340981240981241
bge-small,recent,diff_qcomments_file_w100_recent,diff,comments,file,w100,0.018222331306259876,0.04633928571428572,0.02,0.007115800865800865,0.016666666666666666,0.0176991341991342,0.02,0.031731962481962486,0.0165,0.04889682539682539
