model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.0798660351400754,0.19084920634920635,0.155,0.04202131489200454,0.09,0.07500283492995413,0.068,0.09180411698123617,0.04650000000000001,0.12488307155157007
bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.06013162570237521,0.1464186507936508,0.095,0.029535203780893436,0.07666666666666666,0.06526077143789064,0.056999999999999995,0.07730839048550969,0.037000000000000005,0.09919300587012508
bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.06256850694712117,0.15649603174603174,0.11,0.03207932142795226,0.07833333333333332,0.0666444923681232,0.06000000000000001,0.08080839048550968,0.038,0.10020491063202983
bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.8358724206349205,0.9102142857142858,0.85,0.28825,0.6616666666666667,0.6734166666666667,0.5609999999999999,0.9528333333333333,0.294,0.995
bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.8329194444444445,0.91975,0.86,0.3078333333333334,0.6766666666666665,0.6988333333333333,0.5569999999999999,0.9453333333333334,0.29399999999999993,0.995
bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.8279958333333333,0.9089166666666667,0.84,0.2945,0.68,0.7017500000000001,0.5589999999999999,0.9488333333333333,0.294,0.995
bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.07299185885815679,0.1821785714285714,0.11,0.029146520146520145,0.10333333333333332,0.08861744744162546,0.07400000000000001,0.10143140635852557,0.047,0.1251710752145737
bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.07196341499903341,0.18401984126984125,0.145,0.04557952668246786,0.085,0.07267972748184669,0.065,0.08940362858074778,0.04,0.10699902827908865
bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.07124239757174708,0.1900813492063492,0.155,0.04387694047557131,0.08333333333333331,0.07256344841207923,0.065,0.08927267619979538,0.04050000000000001,0.1072966473267077
bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.824088492063492,0.911297619047619,0.85,0.2961666666666667,0.6733333333333335,0.6917500000000001,0.5339999999999999,0.9053333333333333,0.29399999999999993,0.995
bge-small,recent,desc_qdesc_module_w100_recent,desc,desc,module,w100,0.8231833333333333,0.907547619047619,0.84,0.292,0.6716666666666667,0.6938333333333334,0.568,0.96175,0.29399999999999993,0.995
bge-small,recent,desc_qcomments_module_w100_recent,desc,comments,module,w100,0.8235097222222223,0.9100476190476191,0.845,0.2936666666666667,0.67,0.6917500000000001,0.57,0.9646666666666667,0.29399999999999993,0.995
bge-small,recent,diff_qtitle_file_w100_recent,diff,title,file,w100,0.06692028684247558,0.15365674603174603,0.1,0.027350985221674874,0.07666666666666666,0.07076854634272436,0.059000000000000004,0.08415790208502129,0.04100000000000001,0.1156142512913705
bge-small,recent,diff_qdesc_file_w100_recent,diff,desc,file,w100,0.06212337549187695,0.14160714285714288,0.09,0.02613095238095238,0.07166666666666666,0.0662407685649466,0.055,0.08009044176756096,0.0415,0.1129849654685142
bge-small,recent,diff_qcomments_file_w100_recent,diff,comments,file,w100,0.06743709451307715,0.15686309523809525,0.11,0.0336750700280112,0.07833333333333332,0.07046027380890464,0.057,0.08213210843422765,0.04100000000000001,0.11363972737327613
bge-small,recent,diff_qtitle_module_w100_recent,diff,title,module,w100,0.8364329365079365,0.894125,0.81,0.27825000000000005,0.7166666666666666,0.7346666666666667,0.566,0.9584166666666667,0.29399999999999993,0.995
bge-small,recent,diff_qdesc_module_w100_recent,diff,desc,module,w100,0.8107984126984127,0.8536309523809524,0.735,0.25116666666666665,0.6933333333333335,0.7184166666666667,0.564,0.9553333333333334,0.29399999999999993,0.995
bge-small,recent,diff_qcomments_module_w100_recent,diff,comments,module,w100,0.8142617063492065,0.8536309523809524,0.735,0.25116666666666665,0.7,0.7238333333333334,0.566,0.9582499999999999,0.29399999999999993,0.995
bge-small,recent,title_qtitle_file_w1000_recent,title,title,file,w1000,0.18391037906319077,0.349109126984127,0.29,0.09205931855500821,0.19833333333333336,0.1821486042692939,0.142,0.21422321667239466,0.084,0.2501597246089026
bge-small,recent,title_qdesc_file_w1000_recent,title,desc,file,w1000,0.12307272429993389,0.23155753968253967,0.16,0.05500574712643678,0.12166666666666665,0.1181279785771566,0.096,0.15235981618399422,0.069,0.212044339993518
bge-small,recent,title_qcomments_file_w1000_recent,title,comments,file,w1000,0.1193165458207903,0.22748214285714283,0.155,0.053339080459770115,0.11666666666666665,0.11372598522167486,0.096,0.15066338761256565,0.0675,0.20588362570780372
