model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.026001864725625094,0.17666666666666664,0.175,0.025890753614513984,0.06,0.026224086947847315,0.036000000000000004,0.026224086947847315,0.018000000000000002,0.026224086947847315
bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.02600186472562509,0.17666666666666664,0.175,0.02589075361451398,0.06,0.026224086947847315,0.036000000000000004,0.026224086947847315,0.018000000000000002,0.026224086947847315
bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.026001864725625094,0.17666666666666664,0.175,0.025890753614513984,0.06,0.026224086947847315,0.036000000000000004,0.026224086947847315,0.018000000000000002,0.026224086947847315
bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.8038731481481481,0.8458194444444445,0.8,0.6535,0.3733333333333333,0.8386666666666666,0.23200000000000004,0.8625833333333333,0.12350000000000001,0.8945833333333334
bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.8114564814814815,0.8531527777777776,0.81,0.66475,0.375,0.8436666666666666,0.231,0.8613333333333333,0.12350000000000001,0.8945833333333333
bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.8139564814814816,0.8556527777777777,0.815,0.66975,0.375,0.8436666666666668,0.231,0.8613333333333333,0.12350000000000001,0.8945833333333333
bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.02597408694784732,0.17625,0.175,0.025890753614513984,0.05833333333333333,0.025890753614513984,0.036000000000000004,0.026224086947847315,0.018000000000000002,0.026224086947847315
bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.025957420281180647,0.17600000000000002,0.175,0.025890753614513984,0.05833333333333333,0.025890753614513984,0.036000000000000004,0.026224086947847315,0.018000000000000002,0.026224086947847315
bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.025957420281180647,0.17600000000000002,0.175,0.02589075361451398,0.05833333333333333,0.02589075361451398,0.036000000000000004,0.02622408694784731,0.018000000000000002,0.02622408694784731
bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.5459701388888889,0.5715555555555555,0.25,0.13308333333333333,0.375,0.8436666666666668,0.233,0.8640000000000001,0.12350000000000001,0.8945833333333333
