model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.007440476190476191,0.0175,0.01,0.005357142857142857,0.008333333333333333,0.00931547619047619,0.005,0.00931547619047619,0.0030000000000000005,0.010565476190476191
bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.007857142857142858,0.015,0.015,0.007857142857142858,0.005,0.007857142857142858,0.0030000000000000005,0.007857142857142858,0.0015000000000000002,0.007857142857142858
bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.00621583850931677,0.01425,0.01,0.005357142857142857,0.005,0.005574534161490683,0.004,0.008074534161490683,0.0025,0.009324534161490683
bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.42095605158730154,0.471281746031746,0.305,0.24416666666666664,0.20833333333333331,0.4980833333333334,0.153,0.5944999999999999,0.1035,0.8029999999999998
bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.48443055555555553,0.5402956349206349,0.405,0.3293333333333333,0.22333333333333336,0.5439166666666666,0.158,0.627,0.1025,0.7979999999999999
bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.4778566468253968,0.5355992063492063,0.415,0.3380833333333333,0.21833333333333335,0.5155833333333333,0.154,0.607,0.1015,0.7879999999999999
bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.004504044566544567,0.016555555555555556,0.01,0.0011904761904761904,0.006666666666666666,0.007440476190476191,0.005,0.008690476190476191,0.0035000000000000005,0.009700091575091574
bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.004555722055722055,0.015436507936507936,0.0,0.0,0.005,0.0010616883116883117,0.006999999999999999,0.01293668831168831,0.006,0.02082130369630369
bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.003474166845770106,0.021130952380952382,0.005,0.00035714285714285714,0.008333333333333333,0.0019299805169370385,0.007000000000000001,0.007179980516937038,0.006500000000000001,0.014679980516937039
bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.45087599206349205,0.49656349206349204,0.33,0.26708333333333334,0.225,0.5324166666666666,0.158,0.6095,0.10750000000000001,0.8371666666666667
bge-small,recent,desc_qdesc_module_w100_recent,desc,desc,module,w100,0.5097904761904762,0.5603670634920634,0.43,0.3505833333333333,0.23666666666666664,0.56575,0.162,0.6317499999999999,0.10550000000000001,0.8234166666666667
bge-small,recent,desc_qcomments_module_w100_recent,desc,comments,module,w100,0.5094007936507936,0.5605535714285714,0.435,0.3530833333333333,0.22333333333333336,0.5340833333333334,0.16099999999999998,0.6190833333333333,0.107,0.833
bge-small,recent,diff_qtitle_file_w100_recent,diff,title,file,w100,0.004905753968253968,0.01611111111111111,0.005,0.00035714285714285714,0.008333333333333333,0.00806547619047619,0.005,0.00806547619047619,0.0035000000000000005,0.014315476190476191
bge-small,recent,diff_qdesc_file_w100_recent,diff,desc,file,w100,0.004962391774891775,0.013511904761904758,0.0,0.0,0.005,0.005811688311688311,0.006000000000000001,0.013561688311688313,0.005,0.019811688311688315
bge-small,recent,diff_qcomments_file_w100_recent,diff,comments,file,w100,0.004042867242595503,0.02063888888888889,0.005,0.00035714285714285714,0.008333333333333333,0.006096647183603705,0.008,0.009471647183603705,0.006000000000000001,0.015721647183603707
bge-small,recent,diff_qtitle_module_w100_recent,diff,title,module,w100,0.48030257936507936,0.5268670634920635,0.36,0.29291666666666666,0.22833333333333336,0.5490833333333334,0.16799999999999998,0.6545000000000001,0.10949999999999999,0.8559166666666665
bge-small,recent,diff_qdesc_module_w100_recent,diff,desc,module,w100,0.5228501984126984,0.5736944444444445,0.43,0.3526666666666667,0.24166666666666664,0.58325,0.16399999999999998,0.647,0.11,0.8571666666666666
bge-small,recent,diff_qcomments_module_w100_recent,diff,comments,module,w100,0.5103594576719577,0.5595396825396826,0.42,0.3401666666666667,0.23166666666666663,0.5532499999999999,0.16099999999999998,0.6240833333333333,0.10950000000000003,0.8554999999999999
bge-small,recent,title_qtitle_file_w1000_recent,title,title,file,w1000,0.004779429627085877,0.018353174603174604,0.005,0.00035714285714285714,0.01,0.008027014652014653,0.009,0.00831146978021978,0.007000000000000001,0.012515338827838826
bge-small,recent,title_qdesc_file_w1000_recent,title,desc,file,w1000,0.008239650106837608,0.026922619047619046,0.015,0.0021019345238095237,0.013333333333333332,0.010522550366300367,0.011000000000000001,0.012942422161172161,0.0075,0.023098672161172163
bge-small,recent,title_qcomments_file_w1000_recent,title,comments,file,w1000,0.007749547101449274,0.025505952380952383,0.015,0.0021019345238095237,0.013333333333333332,0.009975575828157349,0.009000000000000001,0.011642242494824016,0.0075,0.023012034161490683
bge-small,recent,title_qtitle_module_w1000_recent,title,title,module,w1000,0.4542718253968253,0.5014603174603175,0.335,0.26458333333333334,0.22833333333333336,0.5451666666666667,0.163,0.6385000000000001,0.10500000000000002,0.813
