model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.013609722222222223,0.026430555555555558,0.0,0.0,0.016666666666666666,0.024291666666666666,0.012000000000000002,0.030291666666666668,0.0085,0.036918650793650795
bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.008294642857142856,0.014680555555555554,0.0,0.0,0.01,0.014958333333333334,0.007000000000000001,0.017458333333333333,0.005,0.021672619047619048
bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.004745039682539682,0.011708333333333331,0.0,0.0,0.008333333333333333,0.005958333333333333,0.006999999999999999,0.013458333333333333,0.005,0.017505952380952382
bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.8868541666666667,0.8940833333333333,0.83,0.82,0.31666666666666665,0.9375,0.19899999999999998,0.97375,0.10100000000000002,0.98125
bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.8744375,0.8805833333333334,0.8,0.79,0.325,0.9575,0.19899999999999998,0.97375,0.10100000000000002,0.98125
bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.8664375,0.8729166666666666,0.785,0.775,0.32166666666666666,0.95,0.2,0.975,0.10100000000000002,0.98125
bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.011314484126984126,0.024636904761904763,0.0,0.0,0.015,0.023815476190476192,0.01,0.024529761904761905,0.0075,0.03191865079365079
bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.008081349206349205,0.016583333333333335,0.0,0.0,0.008333333333333333,0.012458333333333333,0.008,0.021208333333333336,0.005000000000000001,0.022279761904761903
bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.0047107709750566894,0.015464285714285713,0.0,0.0,0.008333333333333333,0.007458333333333333,0.009000000000000001,0.015065476190476192,0.005,0.015779761904761904
bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.8765208333333334,0.8832499999999999,0.805,0.795,0.3216666666666667,0.95,0.2,0.975,0.10100000000000002,0.98125
bge-small,recent,desc_qdesc_module_w100_recent,desc,desc,module,w100,0.8549375,0.8614166666666666,0.78,0.77,0.31666666666666665,0.935,0.2,0.975,0.10100000000000002,0.98125
bge-small,recent,desc_qcomments_module_w100_recent,desc,comments,module,w100,0.8432708333333333,0.8501666666666666,0.755,0.745,0.3133333333333333,0.9275,0.2,0.975,0.10100000000000002,0.98125
bge-small,recent,diff_qtitle_file_w100_recent,diff,title,file,w100,0.014063492063492064,0.03120833333333333,0.0,0.0,0.02,0.028029761904761905,0.014000000000000002,0.0294186507936508,0.0075,0.0319186507936508
bge-small,recent,diff_qdesc_file_w100_recent,diff,desc,file,w100,0.009844179894179895,0.024430555555555556,0.0,0.0,0.014999999999999998,0.015613095238095238,0.012,0.02411309523809524,0.006999999999999999,0.02744642857142857
bge-small,recent,diff_qcomments_file_w100_recent,diff,comments,file,w100,0.006104166666666666,0.021361111111111105,0.0,0.0,0.013333333333333332,0.008113095238095239,0.01,0.018113095238095237,0.006500000000000001,0.02244642857142857
bge-small,recent,diff_qtitle_module_w100_recent,diff,title,module,w100,0.8167916666666666,0.8245833333333334,0.725,0.715,0.305,0.89625,0.201,0.97625,0.10100000000000002,0.98125
bge-small,recent,diff_qdesc_module_w100_recent,diff,desc,module,w100,0.8302083333333334,0.8348333333333333,0.74,0.735,0.31333333333333335,0.92375,0.201,0.97625,0.10100000000000002,0.98125
bge-small,recent,diff_qcomments_module_w100_recent,diff,comments,module,w100,0.8344791666666665,0.8411666666666666,0.75,0.74125,0.3116666666666667,0.91875,0.2,0.97125,0.10100000000000002,0.98125
bge-small,recent,title_qtitle_file_w1000_recent,title,title,file,w1000,0.008197751322751324,0.021958333333333333,0.005,0.0025,0.013333333333333332,0.013569444444444445,0.008,0.013569444444444445,0.005,0.016426587301587303
bge-small,recent,title_qdesc_file_w1000_recent,title,desc,file,w1000,0.005398561507936507,0.013375000000000001,0.01,0.005,0.003333333333333333,0.005,0.0030000000000000005,0.005555555555555556,0.0035000000000000005,0.007926587301587303
bge-small,recent,title_qcomments_file_w1000_recent,title,comments,file,w1000,0.006114417989417988,0.014880952380952382,0.01,0.005,0.003333333333333333,0.005,0.0030000000000000005,0.0075,0.004,0.010902777777777777
bge-small,recent,title_qtitle_module_w1000_recent,title,title,module,w1000,0.636484126984127,0.637109126984127,0.415,0.41,0.2833333333333334,0.83375,0.192,0.93375,0.10300000000000001,0.99
bge-small,recent,title_qdesc_module_w1000_recent,title,desc,module,w1000,0.5256934523809523,0.5290238095238096,0.25,0.2425,0.25833333333333336,0.75875,0.182,0.89,0.10300000000000001,0.99
bge-small,recent,title_qcomments_module_w1000_recent,title,comments,module,w1000,0.5230922619047619,0.5265119047619047,0.23,0.2225,0.27,0.79375,0.185,0.905,0.10300000000000001,0.99
bge-small,recent,desc_qtitle_file_w1000_recent,desc,title,file,w1000,0.004099537037037037,0.013055555555555556,0.0,0.0,0.008333333333333333,0.00801388888888889,0.005,0.00801388888888889,0.0035000000000000005,0.009402777777777777
bge-small,recent,desc_qdesc_file_w1000_recent,desc,desc,file,w1000,0.007000992063492063,0.02520833333333333,0.015,0.003611111111111112,0.011666666666666665,0.008093253968253968,0.009000000000000001,0.011426587301587304,0.005,0.012259920634920636
bge-small,recent,desc_qcomments_file_w1000_recent,desc,comments,file,w1000,0.007561507936507937,0.026875,0.015,0.003611111111111111,0.011666666666666665,0.008569444444444446,0.009000000000000001,0.0114265873015873,0.0055000000000000005,0.013259920634920635
bge-small,recent,desc_qtitle_module_w1000_recent,desc,title,module,w1000,0.6716398809523809,0.6738869047619047,0.475,0.47,0.295,0.86875,0.19599999999999998,0.95125,0.10300000000000001,0.99
bge-small,recent,desc_qdesc_module_w1000_recent,desc,desc,module,w1000,0.6156235119047619,0.6209285714285714,0.385,0.37375,0.29,0.8475,0.19399999999999998,0.94125,0.10300000000000001,0.99
bge-small,recent,desc_qcomments_module_w1000_recent,desc,comments,module,w1000,0.6228735119047619,0.6291309523809524,0.395,0.38375,0.29333333333333333,0.8575,0.196,0.95125,0.10300000000000001,0.99
bge-small,recent,diff_qtitle_file_w1000_recent,diff,title,file,w1000,0.013543320105820107,0.03058333333333333,0.005,0.0025,0.01833333333333333,0.02651388888888889,0.012000000000000002,0.027069444444444448,0.008,0.02997420634920635
bge-small,recent,diff_qdesc_file_w1000_recent,diff,desc,file,w1000,0.0070825617283950615,0.020444444444444442,0.005,0.0025,0.008333333333333333,0.007458333333333333,0.008,0.013847222222222223,0.0055000000000000005,0.02023611111111111
bge-small,recent,diff_qcomments_file_w1000_recent,diff,comments,file,w1000,0.0070594135802469135,0.021555555555555553,0.005,0.0025,0.013333333333333332,0.011347222222222224,0.009000000000000001,0.012180555555555554,0.0055000000000000005,0.01523611111111111
bge-small,recent,diff_qtitle_module_w1000_recent,diff,title,module,w1000,0.5654940476190476,0.5679107142857143,0.375,0.37,0.22833333333333336,0.66125,0.17099999999999999,0.8225,0.10300000000000001,0.99
bge-small,recent,diff_qdesc_module_w1000_recent,diff,desc,module,w1000,0.5224960317460318,0.5280436507936508,0.34,0.33125,0.20833333333333337,0.605,0.165,0.7925,0.10300000000000001,0.99
bge-small,recent,diff_qcomments_module_w1000_recent,diff,comments,module,w1000,0.5401646825396825,0.5430873015873016,0.35,0.345,0.22,0.64,0.172,0.8275,0.10300000000000001,0.99
bge-small,recent,title_qtitle_file_all_recent,title,title,file,all,0.10066158137611593,0.16404563492063487,0.12,0.06317676767676768,0.075,0.09885371572871574,0.063,0.1282679377014661,0.0395,0.15963626595440977
bge-small,recent,title_qdesc_file_all_recent,title,desc,file,all,0.10275756036667406,0.1673015873015873,0.125,0.06255176767676768,0.075,0.10105090501286153,0.055999999999999994,0.13087666258861913,0.04100000000000001,0.18886187822768088
bge-small,recent,title_qcomments_file_all_recent,title,comments,file,all,0.10135766257927628,0.16591269841269843,0.12,0.06067676767676768,0.07333333333333333,0.10341201612397265,0.054000000000000006,0.12669989491185144,0.041999999999999996,0.18457399943980213
bge-small,recent,title_qtitle_module_all_recent,title,title,module,all,0.6914236111111112,0.6930972222222223,0.535,0.52625,0.2783333333333334,0.81375,0.184,0.88125,0.10399999999999998,0.99
bge-small,recent,title_qdesc_module_all_recent,title,desc,module,all,0.6548933531746032,0.660577380952381,0.49,0.47625,0.26833333333333337,0.77625,0.184,0.885,0.10450000000000001,0.99875
bge-small,recent,title_qcomments_module_all_recent,title,comments,module,all,0.6552678571428572,0.6613988095238095,0.49,0.47625,0.26833333333333337,0.77875,0.18100000000000002,0.8725,0.10400000000000002,0.99375
bge-small,recent,desc_qtitle_file_all_recent,desc,title,file,all,0.08206904540244843,0.12984722222222225,0.095,0.04801010101010102,0.06499999999999999,0.08501641414141414,0.05199999999999999,0.10859217171717173,0.033,0.13358084942742135
bge-small,recent,desc_qdesc_file_all_recent,desc,desc,file,all,0.1031091402311302,0.15723412698412698,0.11,0.05546843434343434,0.07166666666666666,0.09635249231444884,0.062,0.1431680098515383,0.04650000000000001,0.2088524338444907
bge-small,recent,desc_qcomments_file_all_recent,desc,comments,file,all,0.10540773382754987,0.16168055555555555,0.115,0.05755176767676767,0.075,0.10135249231444884,0.067,0.15152912096264937,0.0455,0.19910243384449067
bge-small,recent,desc_qtitle_module_all_recent,desc,title,module,all,0.6909117063492063,0.6925853174603175,0.53,0.52125,0.2733333333333334,0.79875,0.191,0.91625,0.10400000000000002,0.99
bge-small,recent,desc_qdesc_module_all_recent,desc,desc,module,all,0.6438735119047619,0.650279761904762,0.48,0.46875,0.26333333333333336,0.7675,0.179,0.86,0.10350000000000001,0.98875
bge-small,recent,desc_qcomments_module_all_recent,desc,comments,module,all,0.6413988095238095,0.6478988095238095,0.48,0.46875,0.26,0.7575,0.176,0.8475,0.10300000000000001,0.98375
bge-small,recent,diff_qtitle_file_all_recent,diff,title,file,all,0.14863958322428222,0.2046825396825397,0.135,0.08806082564778217,0.09333333333333332,0.16709098964951807,0.07,0.2036844239929524,0.050499999999999996,0.2767404187228602
bge-small,recent,diff_qdesc_file_all_recent,diff,desc,file,all,0.15021686868604373,0.21548015873015872,0.15,0.07542590501286153,0.09833333333333333,0.13800679365227858,0.08800000000000001,0.21405856132904633,0.0665,0.3075732130652699
bge-small,recent,diff_qcomments_file_all_recent,diff,comments,file,all,0.1507914410138769,0.22186507936507938,0.16,0.08170368279063933,0.09833333333333333,0.1401227356812641,0.08800000000000001,0.22185022799571297,0.0645,0.30132321306526993
bge-small,recent,diff_qtitle_module_all_recent,diff,title,module,all,0.5898571428571429,0.5915654761904762,0.44,0.43125,0.24333333333333335,0.705,0.16299999999999998,0.78,0.09849999999999999,0.935
bge-small,recent,diff_qdesc_module_all_recent,diff,desc,module,all,0.5478616071428571,0.5519742063492064,0.375,0.36625,0.23,0.66625,0.15299999999999997,0.73875,0.09949999999999999,0.945
bge-small,recent,diff_qcomments_module_all_recent,diff,comments,module,all,0.568936507936508,0.5736646825396825,0.4,0.39125,0.23166666666666663,0.67125,0.157,0.7575,0.1005,0.955
bge-small,modn,title_qtitle_file_w100_modn,title,title,file,w100,0.012749515251386442,0.024214285714285716,0.02,0.012083333333333335,0.008333333333333333,0.012916666666666667,0.006000000000000001,0.014583333333333335,0.0045000000000000005,0.014968552327534038
bge-small,modn,title_qdesc_file_w100_modn,title,desc,file,w100,0.012100615948075375,0.02033333333333333,0.015,0.01125,0.005,0.01125,0.006999999999999999,0.014877450980392157,0.0045000000000000005,0.014878054589977477
bge-small,modn,title_qcomments_file_w100_modn,title,comments,file,w100,0.01204189302026116,0.021,0.015,0.01125,0.006666666666666666,0.01125030180479266,0.007000000000000001,0.014583635138125993,0.004,0.014583936942918653
bge-small,modn,title_qtitle_module_w100_modn,title,title,module,w100,0.7649313371813372,0.7941626984126984,0.71,0.6679545454545455,0.28833333333333333,0.8100757575757577,0.185,0.8430681818181819,0.11100000000000002,0.9669318181818182
bge-small,modn,title_qdesc_module_w100_modn,title,desc,module,w100,0.7834477062289562,0.8070674603174602,0.74,0.7029545454545455,0.28,0.7925757575757576,0.188,0.8555681818181818,0.1115,0.9694318181818181
bge-small,modn,title_qcomments_module_w100_modn,title,comments,module,w100,0.7858450727513226,0.8075674603174603,0.74,0.7067045454545454,0.2816666666666666,0.7930303030303031,0.18599999999999997,0.8455681818181818,0.1115,0.9694318181818181
bge-small,modn,desc_qtitle_file_w100_modn,desc,title,file,w100,0.01250015090239633,0.025,0.02,0.012083333333333335,0.01,0.012916968471459329,0.006000000000000001,0.012916968471459329,0.0030000000000000005,0.012916968471459329
bge-small,modn,desc_qdesc_file_w100_modn,desc,desc,file,w100,0.012324497307625089,0.024305555555555552,0.02,0.012083333333333335,0.008333333333333333,0.012083635138125994,0.006000000000000001,0.012916968471459329,0.0035000000000000005,0.013211086118518152
bge-small,modn,desc_qcomments_file_w100_modn,desc,comments,file,w100,0.012438962622533167,0.02625,0.02,0.012083333333333335,0.01,0.012377752785184817,0.007000000000000001,0.013211086118518149,0.004,0.013211387923310811
bge-small,modn,desc_qtitle_module_w100_modn,desc,title,module,w100,0.6814359668109669,0.7033988095238095,0.54,0.5104545454545455,0.285,0.7917803030303031,0.19,0.8576893939393939,0.1115,0.9694318181818181
bge-small,modn,desc_qdesc_module_w100_modn,desc,desc,module,w100,0.76903848003848,0.7901964285714286,0.695,0.6604545454545455,0.2916666666666667,0.8117803030303031,0.192,0.8672727272727272,0.11150000000000002,0.9694318181818181
bge-small,modn,desc_qcomments_module_w100_modn,desc,comments,module,w100,0.781720117845118,0.8029880952380952,0.72,0.6854545454545454,0.2916666666666667,0.8117803030303031,0.18899999999999997,0.860151515151515,0.1115,0.9694318181818181
bge-small,modn,diff_qtitle_file_w100_modn,diff,title,file,w100,0.013382298903855313,0.031875,0.03,0.012916968471459329,0.011666666666666665,0.012917270276251988,0.008,0.014583936942918653,0.0055000000000000005,0.01496915593711936
bge-small,modn,diff_qdesc_file_w100_modn,diff,desc,file,w100,0.012917555314111722,0.0275,0.025,0.012083635138125994,0.011666666666666665,0.01375060360958532,0.007000000000000001,0.01375060360958532,0.0045000000000000005,0.01375120721917064
bge-small,modn,diff_qcomments_file_w100_modn,diff,comments,file,w100,0.012991247604653417,0.02875,0.025,0.012083635138125994,0.011666666666666665,0.01375060360958532,0.008,0.014044721256644143,0.0055000000000000005,0.014045626671022125
bge-small,modn,diff_qtitle_module_w100_modn,diff,title,module,w100,0.7132413419913419,0.7282936507936507,0.58,0.5517045454545455,0.29333333333333333,0.8142803030303031,0.198,0.8881060606060607,0.1125,0.9731818181818181
bge-small,modn,diff_qdesc_module_w100_modn,diff,desc,module,w100,0.7288584054834055,0.7456984126984126,0.61,0.5767045454545454,0.29833333333333334,0.8267803030303031,0.19699999999999998,0.8864393939393939,0.11200000000000002,0.9719318181818182
bge-small,modn,diff_qcomments_module_w100_modn,diff,comments,module,w100,0.7290421176046177,0.7458650793650794,0.61,0.5767045454545454,0.29833333333333334,0.8267803030303031,0.19700000000000004,0.8897727272727272,0.11199999999999999,0.9719318181818182
bge-small,modn,title_qtitle_file_w1000_modn,title,title,file,w1000,0.02943464052287582,0.04583333333333334,0.035,0.02041666666666667,0.024999999999999994,0.029477124183006537,0.02,0.03324346405228758,0.0125,0.036331699346405226
bge-small,modn,title_qdesc_file_w1000_modn,title,desc,file,w1000,0.02751635047958577,0.048916666666666664,0.035,0.01571078431372549,0.026666666666666665,0.03072712418300654,0.022000000000000002,0.04143790849673202,0.013000000000000001,0.043575460487225194
bge-small,modn,title_qcomments_file_w1000_modn,title,comments,file,w1000,0.026609525460086818,0.04454166666666667,0.03,0.015416666666666667,0.02333333333333333,0.03013888888888889,0.019000000000000003,0.04055555555555555,0.011500000000000002,0.04239929170378256
bge-small,modn,title_qtitle_module_w1000_modn,title,title,module,w1000,0.6463122294372294,0.6598630952380953,0.49,0.45753787878787877,0.27,0.7446969696969696,0.188,0.8389015151515151,0.11449999999999999,0.9848863636363636
bge-small,modn,title_qdesc_module_w1000_modn,title,desc,module,w1000,0.5853062770562771,0.5950515873015874,0.405,0.37503787878787875,0.25166666666666665,0.6871969696969696,0.19699999999999998,0.8605681818181818,0.1145,0.9823863636363636
bge-small,modn,title_qcomments_module_w1000_modn,title,comments,module,w1000,0.5808579545454546,0.5905515873015873,0.4,0.3700378787878788,0.255,0.6984469696969697,0.19699999999999998,0.8560227272727273,0.1145,0.9823863636363636
bge-small,modn,desc_qtitle_file_w1000_modn,desc,title,file,w1000,0.027445061545070332,0.04072222222222222,0.03,0.019166666666666665,0.025,0.028504901960784316,0.018000000000000002,0.030187908496732026,0.012,0.032459452131590044
bge-small,modn,desc_qdesc_file_w1000_modn,desc,desc,file,w1000,0.03239477135323602,0.05843650793650793,0.045,0.020710784313725493,0.029999999999999995,0.038504901960784314,0.021,0.0423937908496732,0.013999999999999999,0.045832706736462295
