model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.0148444281171399,0.0301666666666666,0.025,0.0109089912280701,0.0166666666666666,0.0145396730462519,0.015,0.0158797143259217,0.0105,0.0174042358570222
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.022459836855396,0.0455833333333333,0.04,0.0135605063795853,0.0233333333333333,0.0175649255715045,0.023,0.0250502060074428,0.017,0.0326959396597554
bge-large,recent,title_file_all_recent,title,file,all,0.0046414472310524,0.0170912698412698,0.0,0.0,0.0066666666666666,0.0047423245614035,0.01,0.0059618614989855,0.015,0.0181593716225711
bge-large,recent,title_module_w100_recent,title,module,w100,0.7895766865079366,0.869172619047619,0.825,0.6884999999999999,0.3166666666666666,0.7561666666666668,0.208,0.8009166666666667,0.1355,0.9758333333333332
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.4318132936507936,0.4599305555555555,0.05,0.0320833333333333,0.3083333333333333,0.7376666666666667,0.193,0.7605000000000001,0.1215,0.8852500000000001
bge-large,recent,title_module_all_recent,title,module,all,0.1242762896825397,0.1480892857142857,0.04,0.02625,0.0333333333333333,0.06625,0.022,0.07375,0.0939999999999999,0.7501666666666666
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.0132502103981544,0.0273055555555555,0.02,0.0059089912280701,0.0183333333333333,0.0149144736842105,0.0139999999999999,0.0155508373205741,0.0129999999999999,0.0206415470494417
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.0215400534629056,0.040047619047619,0.035,0.0110560500515995,0.025,0.0239156991744066,0.019,0.0273740325077399,0.0135,0.0314350705194358
bge-large,recent,desc_file_all_recent,desc,file,all,0.0028348762531328,0.0110555555555555,0.005,0.0002631578947368,0.0033333333333333,0.0005263157894736,0.005,0.003672149122807,0.007,0.0160873538011695
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.7978098214285714,0.8747202380952381,0.83,0.691,0.3183333333333333,0.7574166666666667,0.242,0.8800833333333332,0.135,0.9745833333333332
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.3529159722222222,0.3614226190476191,0.07,0.0495833333333333,0.305,0.7326666666666667,0.23,0.8496666666666667,0.1255,0.92775
bge-large,recent,desc_module_all_recent,desc,module,all,0.0516130952380952,0.0627142857142857,0.04,0.02625,0.0283333333333333,0.0575,0.023,0.07375,0.017,0.1108333333333333
bge-large,recent,comments_file_w100_recent,comments,file,w100,0.0135705314422419,0.0289583333333333,0.02,0.0059089912280701,0.0199999999999999,0.0173028309409888,0.013,0.0176361642743221,0.0115,0.0225203349282296
bge-large,recent,comments_file_w1000_recent,comments,file,w1000,0.0254317779743476,0.040297619047619,0.03,0.0111520467836257,0.0283333333333333,0.0259908625730994,0.023,0.0347331871345029,0.014,0.0374350705194358
bge-large,recent,comments_file_all_recent,comments,file,all,0.0120722914187826,0.0289920634920634,0.025,0.0095813397129186,0.0116666666666666,0.0099960127591706,0.0069999999999999,0.0099960127591706,0.0075,0.0227182349813928
bge-large,recent,comments_module_w100_recent,comments,module,w100,0.7885826388888888,0.8691428571428571,0.82,0.6835,0.32,0.7599166666666668,0.206,0.7934166666666667,0.1355,0.9770833333333332
bge-large,recent,comments_module_w1000_recent,comments,module,w1000,0.3564740079365079,0.365625,0.08,0.0595833333333333,0.305,0.7351666666666666,0.229,0.8471666666666667,0.125,0.92525
bge-large,recent,comments_module_all_recent,comments,module,all,0.1126932539682539,0.1377638888888889,0.045,0.0275,0.0283333333333333,0.0575,0.0209999999999999,0.07,0.09,0.721
bge-large,modn,title_file_w100_modn,title,file,w100,0.0013343457943925,0.00375,0.0,0.0,0.0,0.0,0.003,0.0035467289719626,0.002,0.0085467289719626
bge-large,modn,title_file_w1000_modn,title,file,w1000,0.0070107714372862,0.0524285714285714,0.05,0.0046398030187223,0.0233333333333333,0.0062524979504962,0.018,0.0074303095006482,0.0125,0.0090667763397891
bge-large,modn,title_file_all_modn,title,file,all,0.0427242612982543,0.141031746031746,0.085,0.0126066335915312,0.08,0.0478273221378776,0.07,0.0617569466800022,0.0559999999999999,0.0912528461509016
bge-large,modn,title_module_w100_modn,title,module,w100,0.2452660052910053,0.3026428571428571,0.12,0.0582499999999999,0.0849999999999999,0.1260833333333333,0.204,0.731,0.123,0.8309166666666666
bge-large,modn,title_module_w1000_modn,title,module,w1000,0.4117962962962963,0.4579722222222221,0.195,0.1276666666666666,0.2566666666666666,0.5575833333333333,0.192,0.67,0.127,0.8339166666666666
bge-large,modn,title_module_all_modn,title,module,all,0.3249611441798942,0.369204365079365,0.2,0.1214166666666666,0.1816666666666666,0.352,0.161,0.5175,0.12,0.7738333333333333
bge-large,modn,desc_file_w100_modn,desc,file,w100,0.0007655763239875,0.0034166666666666,0.0,0.0,0.0016666666666666,4.672897196261682e-05,0.002,0.0010467289719626,0.0015,0.0060467289719626
bge-large,modn,desc_file_w1000_modn,desc,file,w1000,0.007248039439293,0.0620416666666666,0.045,0.0029132436007436,0.0333333333333333,0.0057949910396718,0.031,0.0097556046891582,0.0225,0.0188581868175695
bge-large,modn,desc_file_all_modn,desc,file,all,0.0632168854160237,0.1721507936507936,0.11,0.0237505841065623,0.095,0.0545972694310801,0.086,0.0841884234276148,0.071,0.133076246770193
bge-large,modn,desc_module_w100_modn,desc,module,w100,0.2401927248677249,0.297547619047619,0.115,0.0590833333333333,0.085,0.1275833333333333,0.202,0.7234999999999999,0.1205,0.8109166666666667
bge-large,modn,desc_module_w1000_modn,desc,module,w1000,0.4521715277777777,0.5027837301587301,0.275,0.20475,0.2583333333333333,0.562,0.1979999999999999,0.6944166666666667,0.13,0.8628333333333333
bge-large,modn,desc_module_all_modn,desc,module,all,0.3392357804232804,0.3774940476190476,0.2,0.13,0.1866666666666666,0.3789166666666667,0.17,0.5490833333333334,0.121,0.7735
bge-large,modn,comments_file_w100_modn,comments,file,w100,0.0002029239766081,0.0015555555555555,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0010263157894736
bge-large,modn,comments_file_w1000_modn,comments,file,w1000,0.0101423655061964,0.0596845238095238,0.035,0.0020042293233082,0.035,0.0072775690123814,0.037,0.0107769309966687,0.031,0.0226641093222906
bge-large,modn,comments_file_all_modn,comments,file,all,0.0745295748413736,0.1837519841269841,0.105,0.0271849897350469,0.1066666666666666,0.0694570560351793,0.099,0.095608376622916,0.076,0.146414918170395
bge-large,modn,comments_module_w100_modn,comments,module,w100,0.2444450396825397,0.3008690476190477,0.11,0.0540833333333333,0.0916666666666666,0.1410833333333333,0.202,0.721,0.123,0.8365
bge-large,modn,comments_module_w1000_modn,comments,module,w1000,0.4589596891534391,0.5092837301587302,0.265,0.19475,0.2783333333333333,0.5973333333333334,0.2,0.6916666666666665,0.129,0.8555833333333334
bge-large,modn,comments_module_all_modn,comments,module,all,0.3666367063492063,0.4198988095238096,0.24,0.1516666666666666,0.2,0.3975833333333333,0.175,0.5779166666666666,0.124,0.7802500000000001
