model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-m3,recent,title_file_w100_recent,title,file,w100,0.015306968913296312,0.0325,0.025,0.010908991228070175,0.01833333333333333,0.01689486584107327,0.012,0.017158023735810112,0.009,0.01906701496388029
bge-m3,recent,title_file_w1000_recent,title,file,w1000,0.019906537176274018,0.039214285714285715,0.035,0.012131213450292399,0.021666666666666664,0.018282529239766084,0.017,0.026358187134502928,0.01,0.02751023391812866
bge-m3,recent,title_file_all_recent,title,file,all,0.007709116541353383,0.014880952380952382,0.01,0.005263157894736842,0.009999999999999998,0.008601973684210527,0.006,0.008601973684210527,0.0045000000000000005,0.011726973684210527
bge-m3,recent,title_module_w100_recent,title,module,w100,0.7862011904761905,0.8654226190476192,0.83,0.6884999999999999,0.31833333333333336,0.7561666666666668,0.24400000000000002,0.8875833333333333,0.12900000000000003,0.9254166666666667
bge-m3,recent,title_module_w1000_recent,title,module,w1000,0.32811785714285713,0.3419007936507936,0.045,0.024583333333333332,0.30333333333333334,0.7301666666666666,0.19400000000000003,0.7630000000000001,0.12100000000000001,0.88275
bge-m3,recent,title_module_all_recent,title,module,all,0.12588988095238096,0.14466468253968257,0.04,0.0275,0.025,0.04875,0.022000000000000002,0.07375,0.0955,0.7618333333333334
bge-m3,modn,title_file_w100_modn,title,file,w100,0.0009013406764574988,0.005505952380952381,0.0,0.0,0.003333333333333333,0.0012967289719626168,0.002,0.0012967289719626168,0.002,0.00463006230529595
bge-m3,modn,title_file_w1000_modn,title,file,w1000,0.003421555854057449,0.03163690476190476,0.015,0.0005005628729032984,0.015,0.0013989258015013894,0.018000000000000002,0.006664488698643234,0.014000000000000002,0.013124632423317534
bge-m3,modn,title_file_all_modn,title,file,all,0.05522677190895227,0.15166269841269842,0.11,0.02956389380145101,0.075,0.050047862842232636,0.061,0.059791974758684974,0.051000000000000004,0.09157870420857232
bge-m3,modn,title_module_w100_modn,title,module,w100,0.2532244708994709,0.29529761904761903,0.095,0.04533333333333333,0.08666666666666668,0.12983333333333333,0.20300000000000004,0.726,0.1345,0.884
bge-m3,modn,title_module_w1000_modn,title,module,w1000,0.40794811507936507,0.45012698412698415,0.195,0.13933333333333334,0.25666666666666665,0.5634166666666667,0.188,0.6529166666666666,0.12400000000000003,0.8226666666666667
bge-m3,modn,title_module_all_modn,title,module,all,0.32330456349206343,0.3691230158730158,0.185,0.10641666666666666,0.18666666666666665,0.3677500000000001,0.16899999999999998,0.54975,0.11950000000000001,0.7705000000000001
