experiment_id,model_group,model_description,vectoriser_model,specific_model_name,module_strategy,embeddings_rebuilt,main_success,vectoriser_success,evaluator_success,total_duration_minutes,vectoriser_duration_minutes,evaluator_duration_minutes,map_mean,map_std,mrr_mean,mrr_std,recall_5_mean,recall_10_mean,recall_20_mean,recall_50_mean,timestamp,notes
M01S01,1,Word2Vec (custom trained),own,default,avg,True,True,True,True,0.5211752732594808,0.4361648718516032,0.08234041929244995,0.1706,0.226,0.1904,0.2729,0.2217,0.3752,0.5412,0.9728,20250907_154234,
M01S02,1,Word2Vec (custom trained),own,default,sum,False,True,False,True,0.07935533523559571,0,0.07681759198506673,0.1686,0.2347,0.1842,0.2716,0.1879,0.3543,0.5398,0.9742,20250907_154306,
M01S03,1,Word2Vec (custom trained),own,default,median,False,True,False,True,0.08324663639068604,0,0.0800187627474467,0.1702,0.2254,0.1842,0.2629,0.234,0.364,0.5204,0.9742,20250907_154310,
M01S04,1,Word2Vec (custom trained),own,default,weighted_avg,False,True,False,True,0.08060015042622884,0,0.07801669438680013,0.1779,0.2319,0.1973,0.2777,0.2153,0.3615,0.5461,0.9742,20250907_154315,
M01S05,1,Word2Vec (custom trained),own,default,cluster,False,True,False,True,0.08030086755752563,0,0.0772273063659668,0.1617,0.2161,0.1778,0.2608,0.2143,0.3382,0.5407,0.9731,20250907_154320,
M02S01,2,FastText (pretrained),fast_text,default,avg,True,True,True,True,15.576363476117452,11.816673004627228,3.757414440313975,0.31,0.2579,0.3364,0.302,0.4636,0.7459,0.9222,0.9997,20250907_154325,
M02S02,2,FastText (pretrained),fast_text,default,sum,False,True,False,True,3.477843443552653,0,3.475643487771352,0.31,0.2579,0.3364,0.302,0.4636,0.7459,0.9222,0.9997,20250907_155900,
M02S03,2,FastText (pretrained),fast_text,default,median,False,True,False,True,3.330349783102671,0,3.3263665239016214,0.31,0.2579,0.3364,0.302,0.4636,0.7459,0.9222,0.9997,20250907_160229,
M02S04,2,FastText (pretrained),fast_text,default,weighted_avg,False,True,False,True,3.64390975634257,0,3.64134304523468,0.31,0.2579,0.3364,0.302,0.4636,0.7459,0.9222,0.9997,20250907_160549,
M02S05,2,FastText (pretrained),fast_text,default,cluster,False,True,False,True,4.345171133677165,0,4.344130591551463,0.31,0.2579,0.3364,0.302,0.4636,0.7459,0.9222,0.9997,20250907_160927,
M03S01,3,GloVe (6B.100d),glove,default,avg,True,True,True,True,1.5660856008529662,1.232597835858663,0.3321624040603638,0.3307,0.2728,0.3672,0.3231,0.4971,0.7182,0.9255,1.0,20250907_161348,
M03S02,3,GloVe (6B.100d),glove,default,sum,False,True,False,True,0.3319027185440063,0,0.3310527205467224,0.3307,0.2728,0.3672,0.3231,0.4971,0.7182,0.9255,1.0,20250907_161522,
M03S03,3,GloVe (6B.100d),glove,default,median,False,True,False,True,0.33021811246871946,0,0.329403014977773,0.3307,0.2728,0.3672,0.3231,0.4971,0.7182,0.9255,1.0,20250907_161542,
M03S04,3,GloVe (6B.100d),glove,default,weighted_avg,False,True,False,True,0.3257818818092346,0,0.32494845787684123,0.3307,0.2728,0.3672,0.3231,0.4971,0.7182,0.9255,1.0,20250907_161602,
M03S05,3,GloVe (6B.100d),glove,default,cluster,False,True,False,True,0.3235868255297343,0,0.322433340549469,0.3307,0.2728,0.3672,0.3231,0.4971,0.7182,0.9255,1.0,20250907_161622,
M04S01,4,BERT (base-uncased),bert,bert-base-uncased,avg,True,True,True,True,16.621882299582165,16.106561545530955,0.5142206430435181,0.3126,0.2698,0.3555,0.341,0.4479,0.6932,0.9037,1.0,20250907_161641,
